kind,incumbent,label,piid,net,n,span,governing,mo,status,competed,sa_ma,office
IDIQ,Erapsco,AN/SSQ-53G,N0001919D0032,1345579717.69,11,4,2023-09-30,-32.9,PAST (recompeted/bridged?),NOT COMPETED,,NAVAL AIR SYSTEMS COMM
IDIQ,Lockheed Martin,AN/BLQ-10,N0002419D6200,938525665.35,17,6,2029-04-27,34.0,FORMING (shape now),FULL AND OPEN COMPET,,NAVSEA HQ
STANDALONE,RTX,AN/SPY-6,N0002422C5500,3265755418.12,1,0,2030-01-30,43.2,MONITOR,FULL AND OPEN COMPET,,NAVSEA HQ
IDIQ,Erapsco,AN/SSQ-53G,N0042114D0025,860111196.9200001,13,4,2019-09-30,-80.8,PAST (recompeted/bridged?),FULL AND OPEN COMPET,,NAVAL AIR SYSTEMS COMM
IDIQ,Laurel Partnership,,N0025319D0004,501760436.36,17,6,2026-12-23,5.9,OPEN NOW,FULL AND OPEN COMPET,,NAVAL UNDERSEA WARFARE
STANDALONE,Lockheed Martin,,N0002413C5116,1812244593.06,1,0,2025-03-31,-14.8,PAST (recompeted/bridged?),FULL AND OPEN COMPET,,NAVSEA HQ
STANDALONE,RTX,,N0002414C5315,1671263971.83,1,0,2026-01-30,-4.8,OPEN NOW,FULL AND OPEN COMPET,,NAVSEA HQ
STANDALONE,RTX,,N0002410C5126,1341505620.61,1,0,2022-07-01,-47.8,PAST (recompeted/bridged?),NOT COMPETED,,NAVSEA HQ
STANDALONE,Lockheed Martin,,N0002414C5114,1339010249.77,1,0,2024-12-31,-17.8,PAST (recompeted/bridged?),NOT COMPETED,,NAVSEA HQ
IDIQ,RTX,AN/APG-79,N0001915G0003,354075413.47999996,14,4,2020-08-30,-69.8,PAST (recompeted/bridged?),,,DCMA MISSILES (TUCSON)
STANDALONE,Lockheed Martin,,N0002423C5123,1106442081.18,1,0,2029-12-31,42.2,MONITOR,NOT COMPETED,,NAVSEA HQ
STANDALONE,RTX,,N0002419C5501,1057024778.37,1,0,2025-09-30,-8.8,PAST (recompeted/bridged?),NOT COMPETED,,NAVSEA HQ
STANDALONE,Lockheed Martin,,N0002417C6259,1055127941.5,1,0,2028-10-11,27.5,FORMING (shape now),FULL AND OPEN COMPET,,NAVSEA HQ
STANDALONE,Lockheed Martin,,N0002404C6207,1008832660.72,1,0,2007-03-01,-231.8,PAST (recompeted/bridged?),NOT COMPETED,,NAVSEA HQ
STANDALONE,Lockheed Martin,,N0002418C5218,966400960.03,1,0,2029-08-01,37.2,FORMING (shape now),FULL AND OPEN COMPET,,NAVSEA HQ
STANDALONE,Lockheed Martin,,N0002420C6117,939719539.26,1,0,2032-01-28,67.1,MONITOR,NOT COMPETED,,NAVSEA HQ
STANDALONE,Lockheed Martin,,N0002410C6266,899175952.5,1,0,2017-12-31,-101.8,PAST (recompeted/bridged?),NOT COMPETED,,NAVSEA HQ
IDIQ,Sierra Nevada,,N0001923D0012,255368394.88,14,3,2028-01-30,19.2,FORMING (shape now),NOT COMPETED,,NAVAL AIR SYSTEMS COMM
STANDALONE,RTX,,N0002417C5145,774039836.53,1,0,2024-08-02,-22.8,PAST (recompeted/bridged?),NOT COMPETED,,NAVSEA HQ
STANDALONE,Northrop Grumman,,N0002417C6327,746250194.45,1,0,2025-10-01,-8.8,PAST (recompeted/bridged?),FULL AND OPEN COMPET,,NAVSEA HQ
STANDALONE,Lockheed Martin,,N0002423C6411,728545701.32,1,0,2028-09-30,27.2,FORMING (shape now),FULL AND OPEN COMPET,,NAVSEA HQ
STANDALONE,RTX,,N0001923C0037,670756003.81,1,0,2026-11-29,5.1,OPEN NOW,NOT COMPETED,,NAVAL AIR SYSTEMS COMM
STANDALONE,Kongsberg,,N0002425C5434,656700340.0,1,0,2032-11-13,76.6,MONITOR,NOT COMPETED,,NAVSEA HQ
STANDALONE,RTX,,N0001925C0065,590843893.92,1,0,2028-03-31,21.2,FORMING (shape now),NOT COMPETED,,NAVAL AIR SYSTEMS COMM
STANDALONE,Lockheed Martin,,N0002421C5119,589143505.05,1,0,2026-12-29,6.1,OPEN NOW,NOT COMPETED,,NAVSEA HQ
STANDALONE,RTX,,N0001925C0104,582289010.65,1,0,2029-01-31,31.2,FORMING (shape now),NOT COMPETED,,NAVAL AIR SYSTEMS COMM
STANDALONE,Lockheed Martin,AN/SLQ-32,N0002416C5363,572194646.0,1,0,2023-01-01,-41.8,PAST (recompeted/bridged?),FULL AND OPEN COMPET,,NAVSEA HQ
STANDALONE,RTX,,N0002422C5522,571390905.0,1,0,2027-04-23,9.9,OPEN NOW,NOT COMPETED,,NAVSEA HQ
STANDALONE,RTX,,N0002418C5432,556454117.12,1,0,2026-02-27,-3.9,OPEN NOW,FULL AND OPEN COMPET,,NAVSEA HQ
STANDALONE,Lockheed Martin,,N0002416C5103,540380878.7,1,0,2024-08-02,-22.8,PAST (recompeted/bridged?),NOT COMPETED,,NAVSEA HQ
IDIQ,Ultra Electronics Ocean,AN/SLQ-25E,N0025321D0002,103121865.52999999,26,5,2025-12-16,-6.3,PAST (recompeted/bridged?),FULL AND OPEN COMPET,,NAVAL UNDERSEA WARFARE
STANDALONE,Lockheed Martin,,N0002415C6222,519180675.0,1,0,2024-11-15,-19.3,PAST (recompeted/bridged?),NOT COMPETED,,NAVSEA HQ
STANDALONE,Lockheed Martin,,N0003020C0045,510617675.28,1,0,2025-07-30,-10.9,PAST (recompeted/bridged?),NOT COMPETED,,PAE STRATEGIC SYSTEMS 
STANDALONE,Science Applications International,,N0002422C6419,509638059.8,1,0,2032-12-31,78.2,MONITOR,FULL AND OPEN COMPET,,NAVSEA HQ
STANDALONE,Northrop Grumman,,N0002417C6311,499455722.74,1,0,2027-04-30,10.1,OPEN NOW,FULL AND OPEN COMPET,,NAVSEA HQ
STANDALONE,Lockheed Martin,,N0002415C5151,495121390.87,1,0,2027-09-03,14.3,OPEN NOW,FULL AND OPEN COMPET,,NAVSEA HQ
IDIQ,Boeing,,N0038307D001J,247306662.45,7,4,2017-06-06,-108.6,PAST (recompeted/bridged?),FULL AND OPEN COMPET,,DCMA FIXED WING ST LOU
STANDALONE,Lockheed Martin,,N0002423C5101,491131370.0,1,0,2032-01-31,67.2,MONITOR,NOT AVAILABLE FOR CO,,NAVSEA HQ
STANDALONE,Lockheed Martin,,N0002416C6412,489099894.19,1,0,2026-09-30,3.2,OPEN NOW,FULL AND OPEN COMPET,,NAVSEA HQ
STANDALONE,Management Services,,N0002420C5608,483401534.11,1,0,2028-09-22,26.9,FORMING (shape now),FULL AND OPEN COMPET,,NAVSEA HQ
STANDALONE,RTX,,N0002416C5144,483202632.02,1,0,2027-12-31,18.2,FORMING (shape now),NOT COMPETED,,NAVSEA HQ
STANDALONE,Lockheed Martin,,N0002414C5106,478477518.5,1,0,2024-06-28,-23.9,PAST (recompeted/bridged?),NOT COMPETED,,NAVSEA HQ
IDIQ,Undersea Sensor,AN/SSQ-53H,N0001922D0018,394122786.84000003,2,0,2027-09-30,15.1,OPEN NOW,FULL AND OPEN COMPET,,NAVAL AIR SYSTEMS COMM
STANDALONE,Boeing,,N0002417C6307,458635009.02,1,0,2026-09-29,3.1,OPEN NOW,FULL AND OPEN COMPET,,NAVSEA HQ
STANDALONE,Lockheed Martin,,N0002419C5102,448457123.38,1,0,2027-12-31,18.2,FORMING (shape now),NOT AVAILABLE FOR CO,,NAVSEA HQ
