vehicle_piid,tier,vehicle_type,incumbent,naics,psc,obligated_$m,n_orders,recompete_clock,months_to_clock,state,access_gate,portal_notice,last_activity,clock_basis,prev_clock
N0002409G2300,other_small,IDV,LOCKHEED MARTIN CORPORATION,336611,1990,31.8,8,2013-10-30,-151.9,"OVERDUE (ordering period closed, no successor seen)",holders-only (FAR 16.5),NONE,2026-03-05,lastDateToOrder,2026-04-30
H9222211D0080,small_craft,IDV,VIGOR WORKS LLC,336612,1940,66.9,1,2021-11-30,-54.8,"OVERDUE (ordering period closed, no successor seen)",holders-only (FAR 16.5),NONE,2025-12-18,lastDateToOrder,2026-10-30
N0002417D2201,small_craft,IDV,GRAVOIS ALUMINUM BOATS LLC,336612,1940,80.5,14,2022-05-31,-48.8,"OVERDUE (ordering period closed, no successor seen)",holders-only (FAR 16.5),NONE,2025-11-06,lastDateToOrder,2027-06-30
N0002415D2214,small_craft,IDV,"METALCRAFT MARINE US, INC.",336612,1940,12.6,12,2022-09-30,-44.8,"OVERDUE (ordering period closed, no successor seen)",holders-only (FAR 16.5),NONE,2025-01-28,lastDateToOrder,2026-03-02
N0002417D2209,small_craft,IDV,GRAVOIS ALUMINUM BOATS LLC,336612,1940,117.8,8,2023-09-30,-32.8,"OVERDUE (ordering period closed, no successor seen)",holders-only (FAR 16.5),NONE,2025-06-17,lastDateToOrder,2025-12-30
N0002417D2217,small_craft,IDV,"SNOW & COMPANY, INC.",336612,1940,35.3,9,2023-09-29,-32.8,"OVERDUE (ordering period closed, no successor seen)",holders-only (FAR 16.5),NONE,2025-02-24,lastDateToOrder,2026-02-27
N0002416D2215,small_craft,IDV,UNITED STATES MARINE INC,336612,1940,44.0,13,2023-09-30,-32.8,"OVERDUE (ordering period closed, no successor seen)",holders-only (FAR 16.5),NONE,2024-09-27,lastDateToOrder,2027-02-10
N0002419D2220,small_craft,IDV,"RIBCRAFT USA, LLC",336612,1940,27.5,7,2024-04-03,-26.7,"OVERDUE (ordering period closed, no successor seen)",holders-only (FAR 16.5),NONE,2025-12-02,lastDateToOrder,2026-09-30
N0002420D2210,small_craft,IDV,"RIBCRAFT USA, LLC",336612,1940,41.6,8,2025-08-11,-10.4,"OVERDUE (ordering period closed, no successor seen)",holders-only (FAR 16.5),NONE,2025-08-04,lastDateToOrder,2028-06-27
N0002421D2220,small_craft,IDV,UNITED STATES MARINE INC,336612,1940,40.6,8,2025-09-29,-8.8,"OVERDUE (ordering period closed, no successor seen)",holders-only (FAR 16.5),NONE,2025-09-26,lastDateToOrder,2028-03-31
N0010421CFA50,small_craft,standalone,ERIE FORGE & STEEL INC,336612,2010,8.0,1,2026-03-11,-3.4,"OVERDUE (ordering period closed, no successor seen)",open / standalone,NONE,2025-12-15,ultimateCompletionDate,2026-03-11
N0002422C2223,small_craft,standalone,"SILVER SHIPS, INC",336612,1940,16.2,1,2026-03-15,-3.3,"OVERDUE (ordering period closed, no successor seen)",open / standalone,NONE,2025-07-07,ultimateCompletionDate,2026-03-15
N0010423CZA25,small_craft,standalone,ERIE FORGE & STEEL INC,336612,2010,14.7,1,2026-06-22,-0.0,imminent (<12mo),open / standalone,NONE,2026-01-05,ultimateCompletionDate,2026-06-08
N0002423C2205,small_craft,standalone,"RECONCRAFT, LLC",336612,1940,33.5,1,2026-07-30,1.2,imminent (<12mo),open / standalone,NONE,2025-06-23,ultimateCompletionDate,2026-07-30
N0010422CZA28,small_craft,standalone,ERIE FORGE & STEEL INC,336612,2010,8.7,1,2026-08-01,1.3,imminent (<12mo),open / standalone,NONE,2025-12-15,ultimateCompletionDate,2026-08-01
N0001423C1052,usv_core,standalone,UNIVERSITY OF SOUTH CAROLINA,541715,AC12,7.1,1,2026-08-10,1.6,imminent (<12mo),open / standalone,NONE,2023-08-09,ultimateCompletionDate,2026-08-10
M6785421D1801,small_craft,IDV,WING INFLATABLES INC,336612,1940,21.3,7,2026-08-30,2.2,imminent (<12mo),holders-only (FAR 16.5),NONE,2025-06-16,lastDateToOrder,2027-03-12
N0002422C2210,small_craft,standalone,"WILLARD MARINE, INC.",336612,1940,8.2,1,2026-09-21,3.0,imminent (<12mo),open / standalone,NONE,2025-09-26,ultimateCompletionDate,2026-09-21
N0002421D2205,small_craft,IDV,"SILVER SHIPS, INC",336612,1940,55.7,8,2026-10-01,3.3,imminent (<12mo),holders-only (FAR 16.5),NONE,2026-01-23,lastDateToOrder,2028-10-31
N0002422C2201,small_craft,standalone,"SWIFTSHIPS, LLC",336612,1940,26.4,1,2026-12-31,6.3,imminent (<12mo),open / standalone,NONE,2024-12-17,ultimateCompletionDate,2026-12-31
N0010422GY701,small_craft,IDV,"L3 TECHNOLOGIES, INC.",336612,6625,7.5,20,2027-01-04,6.4,imminent (<12mo),holders-only (FAR 16.5),NONE,2026-03-18,lastDateToOrder,2027-06-21
N0002422C2505,other_small,standalone,NATIONAL STEEL AND SHIPBUILDING COMPANY,336611,1925,98.7,1,2027-01-31,7.3,imminent (<12mo),open / standalone,NONE,2026-02-19,ultimateCompletionDate,2027-01-31
N0010420CCA04,small_craft,standalone,GE AVIATION SYSTEMS LLC,336612,2010,12.3,1,2027-02-19,7.9,imminent (<12mo),open / standalone,NONE,2026-01-22,ultimateCompletionDate,2027-02-19
N0002422D2270,small_craft,IDV,"METALCRAFT MARINE US, INC.",336612,1940,32.3,8,2027-03-09,8.5,imminent (<12mo),holders-only (FAR 16.5),NONE,2025-07-22,lastDateToOrder,2028-10-18
GS07F0362T,small_craft,IDV,GRAVOIS ALUMINUM BOATS LLC,336611,1940,19.2,5,2027-05-03,10.3,imminent (<12mo),multiple-award vehicle,NONE,2026-03-03,lastDateToOrder,2026-06-30
N0002425C2237,small_craft,standalone,GRAVOIS ALUMINUM BOATS LLC,336612,1940,12.5,1,2027-07-09,12.5,upcoming (12-24mo),open / standalone,NONE,2026-03-03,ultimateCompletionDate,2027-07-09
N6660418DC817,small_craft,IDV,NORTHROP GRUMMAN SYSTEMS CORPORATION,336999,1940,15.8,2,2027-08-01,13.3,upcoming (12-24mo),multiple-award vehicle,NONE,2026-01-23,lastDateToOrder,2027-12-26
N0002423C2201,small_craft,standalone,"RECONCRAFT, LLC",336612,1940,55.0,1,2027-09-01,14.3,upcoming (12-24mo),open / standalone,NONE,2026-02-20,ultimateCompletionDate,2027-09-01
N6893624P0258,small_craft,standalone,GRAVOIS ALUMINUM BOATS LLC,336612,1940,7.5,1,2027-09-30,15.3,upcoming (12-24mo),open / standalone,NONE,2026-02-26,ultimateCompletionDate,2027-09-05
N0002418C2223,small_craft,standalone,"MARINE GROUP BOAT WORKS, LLC",336612,1940,53.5,1,2027-09-30,15.3,upcoming (12-24mo),open / standalone,NONE,2025-05-13,ultimateCompletionDate,2027-09-30
N6133120C0018,other_small,standalone,YULISTA SUPPORT SERVICES LLC,488310,1990,38.0,1,2027-09-30,15.3,upcoming (12-24mo),open / standalone,NONE,2026-03-17,ultimateCompletionDate,2027-09-30
N0002421C2201,small_craft,standalone,SAFE BOATS INTERNATIONAL LLC,336612,1940,173.9,1,2027-12-16,17.8,upcoming (12-24mo),open / standalone,NONE,2026-01-07,ultimateCompletionDate,2027-12-16
N0002419C2208,other_small,standalone,"BOLLINGER MISSISSIPPI SHIPBUILDING, LLC",336611,1990,166.5,1,2027-12-17,17.8,upcoming (12-24mo),open / standalone,NONE,2026-03-18,ultimateCompletionDate,2027-12-17
N0010423GZL01,small_craft,IDV,"DEFENSE MARITIME SOLUTIONS, INC.",336612,2010,39.1,7,2028-01-31,19.3,upcoming (12-24mo),holders-only (FAR 16.5),NONE,2025-10-07,lastDateToOrder,2028-01-26
N0002423D2224,small_craft,IDV,"RIBCRAFT USA, LLC",336612,1940,28.5,2,2028-02-09,19.6,upcoming (12-24mo),holders-only (FAR 16.5),NONE,2025-07-24,lastDateToOrder,2027-04-24
N0002418D6401,usv_core,IDV,THE PENNSYLVANIA STATE UNIVERSITY,541715,AD24,77.1,2,2028-02-27,20.2,upcoming (12-24mo),holders-only (FAR 16.5),NONE,2025-05-22,lastDateToOrder,2026-09-30
N0002425C2218,small_craft,standalone,UNITED STATES MARINE INC,336612,1940,19.9,1,2028-03-14,20.7,upcoming (12-24mo),open / standalone,NONE,2026-02-05,ultimateCompletionDate,2027-10-03
N0001424C1324,usv_core,standalone,UNIVERSITY OF MAINE SYSTEM,541715,AC12,9.0,1,2028-04-22,22.0,upcoming (12-24mo),open / standalone,NONE,2026-02-18,ultimateCompletionDate,2028-04-22
N0002425C2213,small_craft,standalone,SAFE BOATS INTERNATIONAL LLC,336612,1940,14.9,1,2028-07-10,24.6,horizon (24-36mo),open / standalone,NONE,2025-05-22,ultimateCompletionDate,2028-07-10
47QSWA18D009G,small_craft,IDV,"SILVER SHIPS, INC",336611,1940,67.4,3,2028-09-09,26.6,horizon (24-36mo),multiple-award vehicle,NONE,2026-02-13,lastDateToOrder,2026-06-18
N0002424C2222,small_craft,standalone,SYNERGY PARTNERS LLC,336612,1940,17.9,1,2028-10-31,28.3,horizon (24-36mo),open / standalone,NONE,2025-09-17,ultimateCompletionDate,2028-10-31
N0017819D7206,usv_core,IDV,"AVIAN, LLC",541330,R425,32.4,1,2029-01-01,30.4,horizon (24-36mo),multiple-award vehicle,NONE,2026-03-20,lastDateToOrder,2026-08-19
N0017819D7838,usv_core,IDV,"INNOVATIVE PROFESSIONAL SOLUTIONS, INC.",541330,R425,21.6,1,2029-01-01,30.4,horizon (24-36mo),multiple-award vehicle,NONE,2026-03-20,lastDateToOrder,2027-08-31
N0010424GCQ01,small_craft,IDV,"BIRD-JOHNSON PROPELLER COMPANY, LLC",336612,2010,5.9,4,2029-06-06,35.5,horizon (24-36mo),holders-only (FAR 16.5),NONE,2026-03-05,lastDateToOrder,2029-06-06
N0002423D2260,small_craft,IDV,"METALCRAFT MARINE US, INC.",336612,1940,10.8,4,2029-08-31,38.3,horizon (24-36mo),holders-only (FAR 16.5),NONE,2026-01-21,lastDateToOrder,2027-11-02
N0002422C6305,small_craft,standalone,"BOLLINGER SHIPYARDS LOCKPORT, L.L.C.",336611,1940,116.5,1,2029-09-10,38.7,horizon (24-36mo),open / standalone,NONE,2026-03-19,ultimateCompletionDate,2028-09-22
N6600125D0008,small_craft,IDV,HYDRONALIX INC,541330,1940,10.5,1,2029-10-23,40.1,horizon (24-36mo),holders-only (FAR 16.5),NONE,2026-03-18,lastDateToOrder,2027-11-26
N0002421C2209,other_small,standalone,"AUSTAL USA, LLC",336611,1925,383.6,1,2030-05-02,46.3,horizon (24-36mo),open / standalone,NONE,2026-03-05,ultimateCompletionDate,2029-05-02
N0002424D2276,small_craft,IDV,"RECONCRAFT, LLC",336612,1940,14.6,2,2031-05-16,58.8,horizon (24-36mo),multiple-award vehicle,NONE,2024-12-12,lastDateToOrder,2026-05-01
N0002424D2275,small_craft,IDV,GRAVOIS ALUMINUM BOATS LLC,336612,1940,36.4,3,2031-05-16,58.8,horizon (24-36mo),multiple-award vehicle,NONE,2025-09-29,lastDateToOrder,2028-01-09
N0003921D6001,small_craft,IDV,"TELEDYNE BROWN ENGINEERING, INC.",334511,1940,26.3,25,2031-06-30,60.3,horizon (24-36mo),holders-only (FAR 16.5),NONE,2026-01-21,lastDateToOrder,2026-07-30
N0002422D6404,usv_core,IDV,THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC,541715,AC32,35.2,4,2032-08-21,74.0,horizon (24-36mo),holders-only (FAR 16.5),NONE,2026-03-09,lastDateToOrder,2028-07-27
