input_row_number,vendor_uei,vendor,normalized_vendor,research_confidence,program_specificity,submarine_construction_role_summary,primary_work_categories,delivery_form_classification,delivery_form_detail,evidence_notes,source_urls_used
1,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,Northrop Grumman Corporation,High,Virginia-class specific for LWWAA; broader naval-systems portfolio also relevant,"Northrop Grumman is documented as a Virginia-class submarine supplier of Lightweight Wide Aperture Array (LWWAA) hardware: a passive, fiber-optic, hull-mounted sonar/flank-array system that feeds the submarine combat/sonar system. Public sources describe delivery of Block IV LWWAA shipsets for the Virginia-class program and identify Northrop/NG Electronic Systems as the supplier for these wide-aperture arrays. Northrop also markets broader undersea/naval control, navigation, mission and sensor systems, but the clearest Virginia-class construction role in public sources is the acoustic sensor-array hardware.",Sonar and acoustic sensors; undersea mission electronics; integrated naval systems,Equipment / discrete component shipset,"Delivered as LWWAA shipsets and array hardware/panels that are installed on the submarine hull, rather than as raw material or ship modules. The item is an integrated sensor/electronics component set.",Most specific evidence: reported first Block IV LWWAA shipset delivery and descriptions of LWWAA as a fiber-optic passive hull-mounted sensor array used on Virginia-class submarines.,https://www.naval-technology.com/news/newsnorthrop-delivers-first-block-iv-lwwaa-shipset-for-us-virginia-submarines-5683321/ | https://www.armyrecognition.com/archives/archives-naval-defense/naval-defense-2016/northrop-grumman-delivers-1st-lwwaa-hardware-for-us-navy-block-iv-virginia-class-submarine | https://www.naval-technology.com/projects/nssn/ | https://www.northropgrumman.com/what-we-do/sea
2,E8LNMDLEKM35,D.C. FABRICATORS INC.,D.C. Fabricators Inc.,High,U.S. Navy submarine and Electric Boat specific; Virginia-class not named in source found,"D.C. Fabricators designs and manufactures steam condensers, heat exchangers, and corrosion-resistant alloy/dissimilar-metal fabrications for U.S. Navy submarine programs, including work associated with General Dynamics Electric Boat. Its public materials describe submarine and aircraft-carrier applications and emphasize military steam-condensing/heat-transfer hardware.",Heat exchangers; condensers; corrosion-resistant fabricated metal equipment,Equipment / fabricated assembly,"Delivered as finished or near-finished fabricated equipment assemblies such as steam condensers and heat exchangers, not as a raw commodity material. Some items likely require shipyard integration and piping hookup.",Company website explicitly identifies military applications for U.S. Navy submarines and General Dynamics Electric Boat.,https://www.dcfab.com/ | https://www.dcfab.com/products/military-applications/ | https://my.recruitmilitary.com/organizations/d-c-fabricators
3,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,Curtiss-Wright Corporation,High,"Virginia-class specific, but at parent-company level with multiple business units","Curtiss-Wright has multiple documented Virginia-class submarine roles. Public announcements describe contracts to supply pumps, valves, generators, propulsors, propulsion valves, advanced instrumentation and control systems, and related naval nuclear-propulsion equipment for Virginia-class submarines as well as Columbia-class submarines and Ford-class carriers. At the parent-company level, this row is best treated as a multi-product naval equipment supplier rather than a single-item supplier.",Naval propulsion equipment; valves; pumps; generators; propulsors; instrumentation and control systems,Mixed / multiple equipment types,"Delivered mostly as discrete engineered equipment, shipsets, and integrated instrumentation/control-system hardware. Not raw material; not a hull module. Parent-company row is inherently mixed across Curtiss-Wright divisions.","Company press releases identify Virginia-class contracts and product families, including pumps, valves, generators, propulsors, propulsion valves, pumps, and I&C systems.",https://curtisswright.com/news/press-releases/news-release-details/2024/curtiss-wright-awarded-contracts-valued-excess-130-million-support-critical-us-naval-defense | https://curtisswright.com/news/press-releases/news-release-details/2015/Curtiss-Wright-Awarded-480-Million-in-Contracts-For-Virginia-Class-Submarine-Program | https://curtisswright.com/organization/naval-power
4,N1PJDANWUJ61,SCOT FORGE COMPANY,Scot Forge Company,High,Virginia-class specific,"Scot Forge produces custom open-die and rolled-ring forgings for shipbuilding and defense programs, explicitly including the Virginia-class, Columbia-class, Seawolf-class and Los Angeles-class submarine programs. Its shipbuilding products include near-net-shape forgings such as hubs, gear blanks, seamless rolled rings, couplings, flanges, pinion shafts, step-downs, spindles, forged bars, gears, shafts, hollow tubes, blind-end cylinders and large flange cylinders.",Forgings; rolled rings; forged shafts/gears/flanges; heavy metal components,Mid-finished product / forged component,"Usually delivered as near-net-shape forged components, rolled rings, bars, shafts or blanks that are then machined, finished, assembled, or integrated by shipyards or higher-tier suppliers. Some pieces may be final-form components, but the core delivery form is forged metal workpiece/component rather than equipment.",Company shipbuilding page names Virginia Class and lists the relevant forged product families.,https://www.scotforge.com/market-expertise/shipbuilding
5,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,Northrop Grumman Corporation,High,Virginia-class specific for LWWAA; broader naval-systems portfolio also relevant,"Northrop Grumman is documented as a Virginia-class submarine supplier of Lightweight Wide Aperture Array (LWWAA) hardware: a passive, fiber-optic, hull-mounted sonar/flank-array system that feeds the submarine combat/sonar system. Public sources describe delivery of Block IV LWWAA shipsets for the Virginia-class program and identify Northrop/NG Electronic Systems as the supplier for these wide-aperture arrays. Northrop also markets broader undersea/naval control, navigation, mission and sensor systems, but the clearest Virginia-class construction role in public sources is the acoustic sensor-array hardware.",Sonar and acoustic sensors; undersea mission electronics; integrated naval systems,Equipment / discrete component shipset,"Delivered as LWWAA shipsets and array hardware/panels that are installed on the submarine hull, rather than as raw material or ship modules. The item is an integrated sensor/electronics component set.",Most specific evidence: reported first Block IV LWWAA shipset delivery and descriptions of LWWAA as a fiber-optic passive hull-mounted sensor array used on Virginia-class submarines.,https://www.naval-technology.com/news/newsnorthrop-delivers-first-block-iv-lwwaa-shipset-for-us-virginia-submarines-5683321/ | https://www.armyrecognition.com/archives/archives-naval-defense/naval-defense-2016/northrop-grumman-delivers-1st-lwwaa-hardware-for-us-navy-block-iv-virginia-class-submarine | https://www.naval-technology.com/projects/nssn/ | https://www.northropgrumman.com/what-we-do/sea
6,SFBKRA9THBA3,ESCO TECHNOLOGIES INC.,ESCO Technologies Inc.,Medium-High,Submarine-specific at parent/portfolio level; Virginia-class specific through VACCO/Globe references,"ESCO Technologies is a parent/portfolio company whose aerospace and defense businesses supply submarine-related components. ESCO public materials describe hydraulic filtration systems, precision fluid-control valves, machined components, shock/vibration-dampening tiles, and signature/power-management products that enhance U.S. and U.K. Navy submarine stealth. VACCO, an ESCO business at the time of source publication, describes critical-quiet fluid-control technology used by the U.S. Virginia-class submarine fleet and valves/manifolds aboard U.S. Navy platforms. Because this is a parent-company row, the exact subaward could involve one or more ESCO subsidiaries.",Fluid-control valves/manifolds; filtration; machined components; vibration/acoustic dampening; signature management,Mixed / components and subsystem assemblies,"Likely delivered as discrete valves, manifolds, filtration units, machined parts, dampening tiles, and other equipment/components. Parent-company record is mixed and may reflect subsidiary deliveries rather than ESCO corporate delivery.",Best evidence comes from ESCO portfolio descriptions and VACCO’s Virginia-class fluid-control/critical-quiet technology statements.,https://www.escotechnologies.com/company-portfolio/ | https://www.vacco.com/index.php/navy/overview | https://www.vacco.com/ | https://investor.escotechnologies.com/news-releases/news-release-details/esco-reports-first-quarter-fiscal-2026-results
7,FLDEFFBLR5P3,"GLOBE COMPOSITE SOLUTIONS, LLC","Globe Composite Solutions, LLC",High,Submarine-specific and platform-specific to Virginia/Columbia in company materials,"Globe Composite Solutions designs and manufactures composite submarine components. Its defense materials identify Los Angeles, Ohio, Seawolf, Virginia and Columbia submarines as key Navy platforms and describe work such as U.S. Navy gaskets, composite submarine parts for acoustic-signature reduction, and acoustic-intercept domes or related composites used in undersea applications.",Composite submarine components; acoustic-signature reduction; gaskets; acoustic/intercept domes,Discrete composite component / assembly,"Delivered as molded or fabricated composite parts, gaskets, domes, and other discrete non-metallic components or small assemblies that are integrated into the submarine.",Company defense and blog pages identify submarine programs and composite/acoustic product types.,https://www.globecomposite.com/defense | https://www.globecomposite.com/blog/x-factor-columbia-class-submarine-design | https://www.globecomposite.com/blog/silent-service-acoustic-intercept
8,U45EH8WMNF55,"CIRCOR INTERNATIONAL, INC.","CIRCOR International, Inc.",High,Virginia-class specific,CIRCOR is documented as a supplier of fluid-control equipment for Virginia-class submarines. Public sources report Electric Boat awards for CIRCOR to supply Block V ball valves and shipsets of valves for Virginia-class submarines; related CIRCOR brand Leslie Controls also received a contract for valves for ten Block V Virginia-class submarines. Public contract reporting also points to CIRCOR Naval Solutions trim-and-drain pumps for Virginia-class submarines.,Fluid-control valves; ball valves; ship-service valves; trim/drain pumps,Discrete equipment / component shipsets,"Delivered as valves, pumps, and shipsets of fluid-control equipment. These are discrete components/equipment integrated into submarine piping and fluid systems rather than modules or raw materials.",Company and trade sources specifically describe Block V Virginia-class ball-valve and valve shipset contracts.,https://aerospace.circor.com/news-press/press-releases/circor-receives-award-electric-boat-supply-block-v-ball | https://www.naval-technology.com/news/circor-contracts-ball-valves/ | https://www.marinelog.com/news/leslie-controls-wins-565-million-virginia-class-valve-contract/ | https://envzone.com/award-record/40-million-contract-to-circor-naval-solutions-for-virginia-class-submarine-components/
9,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,Northrop Grumman Corporation,High,Virginia-class specific for LWWAA; broader naval-systems portfolio also relevant,"Northrop Grumman is documented as a Virginia-class submarine supplier of Lightweight Wide Aperture Array (LWWAA) hardware: a passive, fiber-optic, hull-mounted sonar/flank-array system that feeds the submarine combat/sonar system. Public sources describe delivery of Block IV LWWAA shipsets for the Virginia-class program and identify Northrop/NG Electronic Systems as the supplier for these wide-aperture arrays. Northrop also markets broader undersea/naval control, navigation, mission and sensor systems, but the clearest Virginia-class construction role in public sources is the acoustic sensor-array hardware.",Sonar and acoustic sensors; undersea mission electronics; integrated naval systems,Equipment / discrete component shipset,"Delivered as LWWAA shipsets and array hardware/panels that are installed on the submarine hull, rather than as raw material or ship modules. The item is an integrated sensor/electronics component set.",Most specific evidence: reported first Block IV LWWAA shipset delivery and descriptions of LWWAA as a fiber-optic passive hull-mounted sensor array used on Virginia-class submarines.,https://www.naval-technology.com/news/newsnorthrop-delivers-first-block-iv-lwwaa-shipset-for-us-virginia-submarines-5683321/ | https://www.armyrecognition.com/archives/archives-naval-defense/naval-defense-2016/northrop-grumman-delivers-1st-lwwaa-hardware-for-us-navy-block-iv-virginia-class-submarine | https://www.naval-technology.com/projects/nssn/ | https://www.northropgrumman.com/what-we-do/sea
10,UCWYBGRA11H1,"AUSTAL USA, LLC","Austal USA, LLC",High,Virginia-class specific,"Austal USA is a submarine industrial-base capacity partner for General Dynamics Electric Boat. Public sources describe Austal USA fabricating and outfitting critical module components for Virginia-class and Columbia-class submarines, including orders for electronic deck modules and a command-deck module/structural assembly in support of the Virginia-class submarine program.",Submarine module fabrication; module outfitting; structural assemblies; electronic/command deck modules,Modular assembly / structural module,"Delivered as outfitted modules, deck modules, command deck module structural assemblies, or critical module components that are shipped to the prime shipbuilder for final submarine integration.",Company and naval-trade sources specifically identify Virginia-class module fabrication/outfitting work for Electric Boat.,https://www.austalusa.com/submarines | https://seapowermagazine.org/austal-usa-receives-order-for-three-virginia-class-submarine-modules/ | https://www.navalnews.com/naval-news/2023/01/austal-secures-command-deck-module-contract-for-virginia-class-submarine-program/ | https://www.navalnews.com/naval-news/2024/09/austal-usa-wins-contract-to-expand-submarine-module-production-capacity/
11,XFMBL7A963X9,"OIL STATES INTERNATIONAL, INC.",Oil States / Oil States Industries (operating entity unresolved from input name),Low-Medium,Navy/submarine-related evidence found; exact Virginia-class new-construction role not resolved publicly,"The input row names Oil States International, while public traces most relevant to this UEI/name family point to Oil States Industries products and Navy awards. The clearest public clues are Navy contracts/product listings for resilient mounts and remanufactured resilient mounts, plus Oil States materials describing elastomeric/plastic products for defense, marine and industrial applications. I did not find a public source tying Oil States directly to a named Virginia-class new-construction component. A plausible submarine-construction role is shock/vibration isolation hardware, resilient weapon-system or machinery mounts, or related fittings/components used to isolate equipment and reduce shock/noise transmission.",Shock/vibration isolation mounts; resilient mounts; defense elastomeric/plastic components; possibly fittings,Discrete component / unresolved,"Likely delivered as individual resilient mounts or mount assemblies, possibly remanufactured mounts. This should be treated as a component-hardware finding with low confidence until confirmed by prime-builder subaward detail or vendor statement.",Evidence is indirect: federal/Navy award traces and NSN/product listings identify Oil States Industries resilient mounts; general Oil States materials mention defense/marine/industrial elastomeric/plastic products.,https://www.federalcompass.com/award-contract-detail/SPMYM114M0575 | https://www.highergov.com/contract-opportunity/remanufactured-resil-n0040625ps258-award-n0040625ps258-oil-states-industries-inc-28f13/ | https://secoparts.net/products/new-oil-states-6e2000bb-eb-weapon-system-resilient-mount-5342-01-347-5999 | https://www.wbparts.com/rfq/5342-01-525-1347.html | https://oilstates.com/wp-content/uploads/OSOilStatesProductCatalog.pdf | https://oilstates.com/marine/
12,YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC","Precision Custom Components, LLC",Medium-High,Navy/submarine supplier evidence; exact Virginia-class item not publicly resolved,"Precision Custom Components is a heavy nuclear/manufacturing supplier that makes custom-fabricated pressure vessels, reactors, casks, heavy-walled components, heat exchangers, heavy weldments, and large-envelope machined parts. Public reporting describes it as supplying submarine components to the U.S. Navy, and acquisition coverage of its parent Precision Components Group notes support for Electric Boat, Bechtel Plant Machinery and other Navy programs. For submarine construction, the likely role is fabrication/machining/welding of large, high-specification metal or nuclear-related components rather than design of a complete ship system.",Heavy fabricated components; pressure vessels; heat exchangers; heavy weldments; large-envelope machining,Large discrete fabricated component / mid-finished heavy assembly,"Delivered as large fabricated or machined components, heavy weldments, pressure-vessel/heat-exchanger equipment, or partly finished assemblies that require integration by the shipbuilder or higher-tier system supplier.","Sources identify PCC’s heavy-walled component capabilities and Navy/submarine/Electric Boat support, but not a specific named Virginia-class part.",https://www.bwxt.com/bwxt-bolsters-american-nuclear-manufacturing-capability-with-strategic-acquisition/ | https://www.citybiz.co/article/834117/bwxt-to-acquire-precision-components-group-to-expand-u-s-nuclear-manufacturing-capacity/ | https://www.fox43.com/article/news/local/program-helping-pennsylvania-defense-manufacturers-find-workers/521-607d8224-93f1-4606-9742-765b505c71f3 | https://www.thomasnet.com/company/precision-custom-components-llc-149347/profile
13,SFBKRA9THBA3,ESCO TECHNOLOGIES INC.,ESCO Technologies Inc.,Medium-High,Submarine-specific at parent/portfolio level; Virginia-class specific through VACCO/Globe references,"ESCO Technologies is a parent/portfolio company whose aerospace and defense businesses supply submarine-related components. ESCO public materials describe hydraulic filtration systems, precision fluid-control valves, machined components, shock/vibration-dampening tiles, and signature/power-management products that enhance U.S. and U.K. Navy submarine stealth. VACCO, an ESCO business at the time of source publication, describes critical-quiet fluid-control technology used by the U.S. Virginia-class submarine fleet and valves/manifolds aboard U.S. Navy platforms. Because this is a parent-company row, the exact subaward could involve one or more ESCO subsidiaries.",Fluid-control valves/manifolds; filtration; machined components; vibration/acoustic dampening; signature management,Mixed / components and subsystem assemblies,"Likely delivered as discrete valves, manifolds, filtration units, machined parts, dampening tiles, and other equipment/components. Parent-company record is mixed and may reflect subsidiary deliveries rather than ESCO corporate delivery.",Best evidence comes from ESCO portfolio descriptions and VACCO’s Virginia-class fluid-control/critical-quiet technology statements.,https://www.escotechnologies.com/company-portfolio/ | https://www.vacco.com/index.php/navy/overview | https://www.vacco.com/ | https://investor.escotechnologies.com/news-releases/news-release-details/esco-reports-first-quarter-fiscal-2026-results
14,XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,Johnson Controls International plc,High,Naval and nuclear-submarine specific; Virginia-class not named in source found,"Johnson Controls supplies HVAC, air-conditioning, refrigeration and chiller solutions for naval vessels. Its marine/navy materials state that its equipment is on all NATO nuclear-powered submarines and describe design, manufacture, testing, installation and lifecycle support of HVAC/R systems for naval vessels from submarines to carriers. For new submarine construction, the role is most likely submarine HVAC/R equipment packages and associated engineering/support.",HVAC/R; chillers; refrigeration; air conditioning; naval environmental-control systems,Equipment package plus service,"Delivered as HVAC/R equipment packages such as chillers, refrigeration and air-conditioning components, with associated design, testing, installation and support services. It is not raw material or a structural module.",Official Johnson Controls marine/navy pages describe naval HVAC/R systems and submarine applicability.,https://www.johnsoncontrols.com/marine-and-navy/hvac-solutions/navy-and-non-combat-solutions | https://www.johnsoncontrols.com/marine-and-navy/hvac-and-refrigeration | https://www.johnsoncontrols.co.uk/-/media/project/jci-global/johnson-controls/uki-region/united-kingdom/marine-and-navy/documents/global_marine_navy_profile_brochure_oct_2022.pdf
15,YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC","Precision Custom Components, LLC",Medium-High,Navy/submarine supplier evidence; exact Virginia-class item not publicly resolved,"Precision Custom Components is a heavy nuclear/manufacturing supplier that makes custom-fabricated pressure vessels, reactors, casks, heavy-walled components, heat exchangers, heavy weldments, and large-envelope machined parts. Public reporting describes it as supplying submarine components to the U.S. Navy, and acquisition coverage of its parent Precision Components Group notes support for Electric Boat, Bechtel Plant Machinery and other Navy programs. For submarine construction, the likely role is fabrication/machining/welding of large, high-specification metal or nuclear-related components rather than design of a complete ship system.",Heavy fabricated components; pressure vessels; heat exchangers; heavy weldments; large-envelope machining,Large discrete fabricated component / mid-finished heavy assembly,"Delivered as large fabricated or machined components, heavy weldments, pressure-vessel/heat-exchanger equipment, or partly finished assemblies that require integration by the shipbuilder or higher-tier system supplier.","Sources identify PCC’s heavy-walled component capabilities and Navy/submarine/Electric Boat support, but not a specific named Virginia-class part.",https://www.bwxt.com/bwxt-bolsters-american-nuclear-manufacturing-capability-with-strategic-acquisition/ | https://www.citybiz.co/article/834117/bwxt-to-acquire-precision-components-group-to-expand-u-s-nuclear-manufacturing-capacity/ | https://www.fox43.com/article/news/local/program-helping-pennsylvania-defense-manufacturers-find-workers/521-607d8224-93f1-4606-9742-765b505c71f3 | https://www.thomasnet.com/company/precision-custom-components-llc-149347/profile
16,EGAVSJTA2D81,GOODRICH CORP,Goodrich Corp. / Collins Aerospace legacy composites,High,Virginia-class specific,"Goodrich is documented as a supplier of major composite structures for Virginia-class submarines. Public sources report Goodrich delivery of the first composite sail cusp for Virginia-class Block III submarines, contracts for lightweight composite sail cusps, composite components including a hydrodynamically shaped bow dome that houses/protects the sonar array, and later manufacturing support for Virginia-class propulsors.",Composite hydrodynamic structures; sail cusp/fairing; bow dome; propulsor-related manufacturing support,Large discrete component / composite structural assembly,"Delivered as large composite structures or assemblies such as sail cusps/fairings and bow domes, and potentially propulsor-related manufactured components. These are not raw materials; they are structural/hydrodynamic components integrated into the hull/propulsor area.","Goodrich/UTC/DoD trade sources directly name Virginia-class sail cusps, bow dome composite components and propulsor manufacturing support.",https://www.prnewswire.com/news-releases/goodrich-delivers-first-composite-sail-cusp-for-virginia-class-submarine-149801805.html | https://www.defenseindustrydaily.com/49M-to-Goodrich-for-Virginia-Class-Block-III-Composite-Components-06089/ | https://www.naval-technology.com/news/pentagon-changes-propulsor-supplier/ | https://www.war.gov/News/Contracts/Contract/Article/4319114/contracts-for-sep-30-2025/
