input_row_number,vendor_uei,vendor,normalized_vendor,research_confidence,program_specificity,submarine_construction_role_summary,primary_work_categories,delivery_form_classification,delivery_form_detail,evidence_notes,source_urls_used
17,WYDAKCJ5K219,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,Curtiss-Wright Electro-Mechanical Corporation,High,Virginia-class specific,"Curtiss-Wright Electro-Mechanical Systems is tied to Curtiss-Wright contracts for Virginia-class submarine equipment. Public Curtiss-Wright announcements identify EMS facilities as producing pumps, valves, generators and propulsors for Block IV Virginia-class submarines, with emphasis on nuclear propulsion systems and mission-critical naval machinery.",Electro-mechanical naval machinery; pumps; generators; propulsors; propulsion-system equipment,Equipment / rotating machinery,"Delivered as engineered machinery and electro-mechanical equipment such as pumps, generators and propulsor-related hardware, usually as discrete equipment/shipset items for integration into propulsion and auxiliary systems.",Curtiss-Wright EMS and corporate releases link the EMS business to Virginia-class pump/generator/propulsor work.,https://electro-mechanicalsystems.curtisswright.com/news/news-details/2015/Curtiss-wright-Awarded-480-Million-In-Contracts-For-Virginia-Class-Submarine-Program | https://curtisswright.com/news/press-releases/news-release-details/2015/Curtiss-Wright-Awarded-480-Million-in-Contracts-For-Virginia-Class-Submarine-Program | https://curtisswright.com/organization/naval-power
18,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,Curtiss-Wright Corporation,High,"Virginia-class specific, but at parent-company level with multiple business units","Curtiss-Wright has multiple documented Virginia-class submarine roles. Public announcements describe contracts to supply pumps, valves, generators, propulsors, propulsion valves, advanced instrumentation and control systems, and related naval nuclear-propulsion equipment for Virginia-class submarines as well as Columbia-class submarines and Ford-class carriers. At the parent-company level, this row is best treated as a multi-product naval equipment supplier rather than a single-item supplier.",Naval propulsion equipment; valves; pumps; generators; propulsors; instrumentation and control systems,Mixed / multiple equipment types,"Delivered mostly as discrete engineered equipment, shipsets, and integrated instrumentation/control-system hardware. Not raw material; not a hull module. Parent-company row is inherently mixed across Curtiss-Wright divisions.","Company press releases identify Virginia-class contracts and product families, including pumps, valves, generators, propulsors, propulsion valves, pumps, and I&C systems.",https://curtisswright.com/news/press-releases/news-release-details/2024/curtiss-wright-awarded-contracts-valued-excess-130-million-support-critical-us-naval-defense | https://curtisswright.com/news/press-releases/news-release-details/2015/Curtiss-Wright-Awarded-480-Million-in-Contracts-For-Virginia-Class-Submarine-Program | https://curtisswright.com/organization/naval-power
19,PVMFSLG6GFF7,MTS SYSTEMS CORPORATION,MTS Systems Corporation,Low-Medium,Defense/naval testing specific; exact Virginia-class new-construction role not resolved publicly,"MTS Systems is a supplier of precision test and simulation systems, including defense test systems used to validate vessels, weapons systems, materials, structures, and equipment against shock, strain, dynamic loading, and environmental conditions. Public sources show MTS equipment such as FlexTest controllers used at Naval Surface Warfare Center Carderock. I did not find a public source identifying a specific MTS component installed on Virginia-class submarines. In this subaward context, the likely role is test equipment, controls, installation, calibration or support used to qualify submarine materials/components or production processes, rather than a delivered submarine onboard part.",Test and simulation systems; dynamic/shock/materials testing; test controllers; calibration/support,Service / test equipment / unresolved,"Delivered as laboratory or production test equipment, controllers, actuators/hydraulic components, installation and support services. It is probably enabling production/qualification rather than a shipboard component, but exact delivery is unresolved.",MTS official defense pages document vessel/weapons shock/dynamic testing applications; Carderock procurement traces identify MTS controller equipment.,https://www.mts.com/en/industries/defense | https://www.mts.com/en/industries/defense/blast | https://www.mts.com/en/products/test-system-components | https://www.highergov.com/contract-opportunity/flextest-40-controller-n0016725q1115-k-f4afc/ | https://www.highergov.com/awardee/mts-systems-corporation-10007404/
20,Y6X3BDLEPNJ6,"W INTERNATIONAL SC, LLC","W International SC, LLC / acquired Goose Creek facility now within HII Newport News Shipbuilding",High,Virginia-class and Columbia-class specific,"W International SC was a South Carolina complex metal fabricator whose Goose Creek operation produced modules used in Virginia-class and Columbia-class submarine construction. HII/NNS acquired substantially all assets and workforce in 2025 to expand production of nuclear-powered submarine modules and aircraft-carrier units. Public reporting says modules from the Goose Creek operation include Virginia-class habitability, auxiliary machine room, and weapons modules.",Submarine module fabrication; complex metal fabrication; shipbuilding structures and assemblies,Modular assembly / structural unit,"Delivered as large fabricated structures, modules, and assemblies, including named Virginia-class module types, for shipment to/integration by Newport News or Electric Boat.","USNI, HII and Virginia Business sources directly identify W International modules used in Virginia/Columbia submarine construction.",https://news.usni.org/2025/01/27/hii-completes-aqusition-of-w-international-assets | https://news.usni.org/2024/12/04/newport-news-shipbuilding-acquires-south-carolina-facility-from-w-international | https://www.hii.com/news/hii-expands-shipbuilding-capacity-announcing-intent-to-acquire-south-carolina-advanced-metal-fabricator-assets-and-workforce | https://virginiabusiness.com/newport-news-shipbuildings-south-carolina-manufacturing-facility-is-up-and-running/
21,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.","Advance Mfg. Co., Inc.",Medium,Submarine industrial-base supplier; exact Virginia-class item not resolved publicly,"Advance Mfg. Co. is a precision machining, welded fabrication and assemblies company serving military, marine, aerospace and other high-specification markets. It appears in submarine industrial-base supplier listings and public company pages describe large welded fabrication up to 20,000 pounds, precision CNC machining, NDT, and NAVSEA/military certifications. For submarine construction, the most likely role is precision machined parts, welded assemblies, and possibly specialized assembly tooling/torque equipment rather than a complete ship system.",Precision machining; welded fabrication; NDT; assemblies; assembly tooling,Discrete machined component / fabricated assembly / service,"Delivered as machined metal components, welded/fabricated assemblies, inspected parts, and potentially specialized torque/assembly tooling. Exact part family for Virginia-class construction is not public in the sources found.","Company capability pages and submarine supplier listings support marine/military/submarine industrial-base role, but not a named Virginia-class component.",https://www.advancemfg.com/ | https://www.advancemfg.com/pages/about/about.html | https://www.advancemfg.com/pages/capabilities/group4_4.html | https://m.advancemfg.com/capabilities/group6a/ndt/ | https://submarinesuppliers.org/wp-content/uploads/2021/02/22MA.pdf
22,J9V9SJL4CW97,CURTISS-WRIGHT FLOW CONTROL CORPORATION,Curtiss-Wright Flow Control Corporation,High,Virginia-class specific,"Curtiss-Wright Flow Control is documented as a Virginia-class valve supplier, especially for nuclear-propulsion/reactor-plant applications. Public releases describe awards to provide critical valves for Virginia-class submarines, including reactor-plant valves for multiple shipsets, and identify Flow Control as designing and manufacturing highly engineered valves, pumps, motors, generators, electronics and systems for military/naval programs.",Reactor-plant valves; nuclear-propulsion valves; flow-control equipment; spare components,Discrete equipment / component shipset,"Delivered as valves and valve shipsets/spares for nuclear propulsion and ship fluid systems. These are engineered equipment components, not modules or raw material.",Sources directly state Curtiss-Wright Flow Control awards for Virginia-class reactor-plant/nuclear-propulsion valves.,https://curtisswright.com/news/press-releases/news-release-details/2011/Curtiss-Wright-Awarded-66-Million-Contract-for-US-Navy-Virginia-Class-Submarine-Program | https://www.prnewswire.com/news-releases/curtiss-wright-awarded-66-million-contract-for-us-navy-virginia-class-program-117403738.html | https://curtisswright.com/news/press-releases/news-release-details/2008/Curtiss-Wright-Awarded-83-Million-Contract-for-US-Navy-Virginia-Class-Submarine-and-Ford-Class-Aircraft-Carrier-Programs | https://www.vma.org/news/88188/Curtiss-Wright-Flow-Control-Awarded-40-Million-in-Contracts-for-U.S.-Navy-Nuclear-Powered-Ships.htm
23,XQW8RJNNAXX8,"W INTERNATIONAL, LLC","W International, LLC / W International module-manufacturing group",Medium-High,Virginia-class and Columbia-class specific at W International group/facility level; UEI-specific operating entity less clear,"W International, as a group/facility network, is publicly described as a manufacturer of large complex metal fabrications, shipbuilding structures, modules and assemblies. Public reporting states that W International produced modules for General Dynamics Electric Boat and Newport News and that the acquired Goose Creek facility made modules used in Virginia-class and Columbia-class submarine construction. Because this row is W International, LLC rather than the W International SC entity, I treat the role as the same module/fabrication family but with slightly lower UEI-specific certainty.",Complex metal fabrication; shipbuilding structures; submarine modules and assemblies,Modular assembly / structural unit,"Delivered as large modules, structural units, and fabricated assemblies for submarine construction; likely shipped to prime shipyards for integration.",W International group/facility sources identify module fabrication for Virginia/Columbia submarines; W International LLC profile confirms large complex metal fabrication capabilities.,https://news.usni.org/2025/01/27/hii-completes-aqusition-of-w-international-assets | https://news.usni.org/2024/12/04/newport-news-shipbuilding-acquires-south-carolina-facility-from-w-international | https://www.highergov.com/awardee/w-international-llc-10425136/ | https://www.highergov.com/awardee/w-international-sc-llc-12674116/ | https://virginiabusiness.com/hii-closes-on-south-carolina-plant-acquisition/
24,DK14KTLXA9M5,"KME AMERICA MARINE TUBE & FITTING, LLC","KME America Marine Tube & Fitting, LLC",High,Navy ships and submarines specific; exact Virginia-class item not publicly resolved,"KME America Marine Tube & Fitting manufactures complex metallic formed fittings and flanges and specializes in copper-nickel and high-performance-alloy fittings, flanges and piping components for demanding maritime/shipbuilding environments. Public sources describe it as a U.S. Navy subcontractor crafting piping and fittings for naval ships and submarines and as producing components for aircraft carriers and submarines.",Copper-nickel/alloy pipe fittings; flanges; piping components; metallic formed components,Raw/mid-finished material and discrete component,"Delivered as pipe, tube, fittings, flanges, and formed/machined piping components: more finished than raw metal stock but still generally installed as parts of ship piping systems by shipyards or higher-tier integrators.",Company and industry sources identify Navy submarine piping/fittings and copper-nickel/high-performance alloy product focus.,https://kmetf.com/ | https://kmetf.com/what-we-do/ | https://resources.ardalyst.com/hubfs/Case%20Studies/Tesseract_KMETFCaseStudy.pdf | https://www.industrynet.com/listing/3666970/kme-america-marine-tube-fitting-llc | https://opengovus.com/sam-entity/DK14KTLXA9M5
25,N1PJDANWUJ61,SCOT FORGE COMPANY,Scot Forge Company,High,Virginia-class specific,"Scot Forge produces custom open-die and rolled-ring forgings for shipbuilding and defense programs, explicitly including the Virginia-class, Columbia-class, Seawolf-class and Los Angeles-class submarine programs. Its shipbuilding products include near-net-shape forgings such as hubs, gear blanks, seamless rolled rings, couplings, flanges, pinion shafts, step-downs, spindles, forged bars, gears, shafts, hollow tubes, blind-end cylinders and large flange cylinders.",Forgings; rolled rings; forged shafts/gears/flanges; heavy metal components,Mid-finished product / forged component,"Usually delivered as near-net-shape forged components, rolled rings, bars, shafts or blanks that are then machined, finished, assembled, or integrated by shipyards or higher-tier suppliers. Some pieces may be final-form components, but the core delivery form is forged metal workpiece/component rather than equipment.",Company shipbuilding page names Virginia Class and lists the relevant forged product families.,https://www.scotforge.com/market-expertise/shipbuilding
26,E8LNMDLEKM35,D.C. FABRICATORS INC.,D.C. Fabricators Inc.,High,U.S. Navy submarine and Electric Boat specific; Virginia-class not named in source found,"D.C. Fabricators designs and manufactures steam condensers, heat exchangers, and corrosion-resistant alloy/dissimilar-metal fabrications for U.S. Navy submarine programs, including work associated with General Dynamics Electric Boat. Its public materials describe submarine and aircraft-carrier applications and emphasize military steam-condensing/heat-transfer hardware.",Heat exchangers; condensers; corrosion-resistant fabricated metal equipment,Equipment / fabricated assembly,"Delivered as finished or near-finished fabricated equipment assemblies such as steam condensers and heat exchangers, not as a raw commodity material. Some items likely require shipyard integration and piping hookup.",Company website explicitly identifies military applications for U.S. Navy submarines and General Dynamics Electric Boat.,https://www.dcfab.com/ | https://www.dcfab.com/products/military-applications/ | https://my.recruitmilitary.com/organizations/d-c-fabricators
27,PUG1H9MFJD63,"AMERICAN TANK & FABRICATING CO, THE",The American Tank & Fabricating Co. (AT&F),Medium-High,Naval ship and submarine fabrication specific; exact Virginia-class item not publicly resolved,"AT&F is a heavy metal fabricator that publicly lists naval ship and submarine fabrications, protective shielding/security barriers, ASME work, and military materials processing among its defense offerings. BuildSubmarines/job postings describe AT&F as producing large-scale parts for submarines and major components/structural sections for shipbuilding. For submarine new construction, its role is likely heavy welded/formed metal components, structural sections, protective fabrications, or other large fabricated parts.",Heavy metal fabrication; naval ship/submarine fabrications; structural sections; shielding/barriers,Fabricated structural component / mid-finished assembly,"Delivered as large fabricated metal parts, structural sections, weldments, shields/barriers, or components that are integrated into a module or hull/system by a prime shipyard or module supplier.",AT&F naval defense page explicitly lists naval ship and submarine fabrications; job postings support large-scale submarine parts/structural sections.,https://www.atfco.com/industries/naval-defense/ | https://www.atfco.com/ | https://jobs.buildsubmarines.com/jobs/526177989-welder-build-submarines-in-the-cle-at-american-tank-fabricating-co | https://www.skillbridgesearch.com/opportunity/6181
28,JEP5GQGFPUL9,PORTLAND VALVE LLC,Portland Valve LLC / CIRCOR Portland Valve,High,Virginia-class specific,"Portland Valve, a CIRCOR brand, manufactures high-performance Navy valves and controls, including ball valves and specialty valves for submarine applications. Sources describe Portland Valve shipments/orders for Block III Virginia-class submarine valves being built by General Dynamics Electric Boat and state that Portland Valve is a standard name in valves for submarines and surface vessels. Products include ship-service ball valves, butterfly valves, specialty submarine valves, controls and refurbished valves.",Valves; ball valves; butterfly valves; valve controls; valve refurbishment,Discrete equipment / component shipset plus service,"Delivered as valves, valve controls, and valve shipsets; repair/refurbishment services may also be provided. The core new-construction item is discrete flow-control equipment.",Most specific evidence: Block III Virginia-class valve shipments/orders from Portland Valve business and CIRCOR product pages for submarine valves.,https://www.prnewswire.com/news-releases/colfax-supplies-initial-shipment-of-valves-for-us-navy-block-lll-virginia-class-submarines-89385537.html | https://www.circor.com/brands/portland-valve | https://www.circorpt.com/technologies-valves | https://www.circor.com/news/circor-brand-portland-valve-announces-50-year-anniversary
29,L4ZMKLM4MPL3,MOOG INC.,Moog Inc.,High,Virginia-class specific,"Moog supplies mission-critical actuators and motion-control systems for Virginia-class submarines. Public Moog sources report a contract to supply more than 1,000 actuators for ten Block IV Virginia-class nuclear submarines. The actuators perform functions including controlling ballast-water flow, parts of the torpedo launch sequence, SUBSAFE-related survivability/safety functions, and emergency surfacing by forcing high-pressure air into main ballast tanks.",Actuation; motion control; valve/hatch controls; torpedo launch sequence components; SUBSAFE components,Discrete equipment / control component,"Delivered as actuators and associated motion-control hardware/equipment installed throughout submarine fluid, weapons, hatch, and emergency-surfacing systems.",Moog’s own press release specifically names Virginia-class actuator functions and Block IV contract scope.,https://www.moog.com/news/corporate-press-releases/2014/moog-awarded-contract-for-mission-critical-actuators-for-us-navy-virginia-class-nuclear-submarines.html | https://www.moog.com/markets/defense/naval-systems.html | https://www.moog.com/markets/naval-defense.html | https://www.naval-technology.com/news/newsmoog-to-deliver-mission-critical-actuators-for-us-navy-virginia-class-submarines-4447016/
30,V1MQFNQB56Z5,RIX INDUSTRIES,RIX Industries,High,Virginia-class specific,"RIX Industries supplies high-pressure air compressor equipment for Virginia-class submarines. Public RIX and defense-contract reporting describe a multimillion-dollar U.S. Navy contract to deliver 25 Virginia-class high-pressure air compressors, continuing a long naval relationship. These compressors support submarine high-pressure air systems used for critical onboard functions.",High-pressure air compressors; naval compression systems; mission-critical pressure equipment,Equipment,"Delivered as discrete high-pressure air compressor units/equipment, with associated parts and support, for installation into submarine air/fluid systems.",RIX official news and defense-contract reporting specifically identify 25 high-pressure air compressors for Virginia-class submarines.,https://www.rixindustries.com/rix-industries-awarded-us-navy-contract | https://www.defenseindustrydaily.com/rix-industries-tapped-for-virginia-class-compressors-nigeria-to-boost-counter-terrorism-capabilities-japan-philippines-to-hold-defense-talks-0241652/
31,SJULQDJ8NZU7,"L3HARRIS TECHNOLOGIES, INC.","L3Harris Technologies, Inc.",High,Virginia-class specific,"L3Harris provides multiple Virginia-class submarine technologies. Its own sources describe communications, electronic warfare, acoustic sensors, mission systems and power distribution equipment on Virginia-class submarines; a 2026 release reports a full-rate production contract from General Dynamics Electric Boat to deliver 26 communications-system shipsets for Virginia- and Columbia-class submarines. Other public sources describe L3Harris submarine imaging masts and sensor packages.",Submarine communications; electronic warfare; acoustic sensors; mission systems; power distribution; imaging masts,Integrated electronic equipment / shipset,"Delivered as integrated communications shipsets, electronic equipment, sensor/mast equipment, and power/mission-system hardware rather than raw material or structural modules.",L3Harris official releases directly name Virginia-class shipsets and systems provided to Virginia-class submarines.,https://www.l3harris.com/newsroom/press-release/2026/02/l3harris-secures-full-rate-production-contract-us-navy-submarine | https://www.l3harris.com/newsroom/editorial/2026/05/l3harris-provides-key-technologies-newly-commissioned-navy-submarines | https://seapowermagazine.org/us-navy-exercises-option-for-l3harris-submarine-imaging-masts/?print=pdf | https://www.secnav.navy.mil/rda/Pages/PEO_Submarines.aspx
32,JBMKQ8ZH6FN9,DOVER CORPORATION,Dover Corporation / Dover Precision Components / Waukesha Bearings,Low-Medium,Marine/military equipment-component specific; exact Virginia-class item not publicly resolved,"Dover Corporation’s relevant operating unit appears to be Dover Precision Components, including Waukesha Bearings. Public materials describe hydrodynamic fluid-film bearings, active magnetic bearings, bearing protection technologies, shaft seals, and reciprocating compressor components for rotating/reciprocating machinery in marine, military and industrial markets. BuildSubmarines/Dover postings reference Waukesha Bearings and marine-sector component contracts. I did not find a public source tying Dover to a specific Virginia-class component, but a plausible submarine-construction role is precision bearings/seals or rotating-equipment components used in marine/military machinery.",Fluid-film bearings; magnetic bearings; shaft seals; rotating-equipment components; compressor components,Discrete precision component / unresolved,"Likely delivered as precision-manufactured bearings, seals, or related components for rotating machinery, pumps, compressors, turbines, gearboxes or other equipment. Exact delivered item for Virginia-class construction is unresolved.",Official Dover Precision Components materials describe marine/military bearing/seal/component products; job postings connect Waukesha Bearings to marine-sector component contracts.,https://www.doverprecision.com/en.html | https://www.waukbearing.com/en/about/news-and-events/dover-precision-components-supplies-reliability-and-efficiency.html | https://jobs.buildsubmarines.com/jobs/526178280-procurement-manager-at-dover-corporation | https://careers.dovercorporation.com/job/Antigo-Welder-WI-54409/1391524033/
33,J9V9SJL4CW97,CURTISS-WRIGHT FLOW CONTROL CORPORATION,Curtiss-Wright Flow Control Corporation,High,Virginia-class specific,"Curtiss-Wright Flow Control is documented as a Virginia-class valve supplier, especially for nuclear-propulsion/reactor-plant applications. Public releases describe awards to provide critical valves for Virginia-class submarines, including reactor-plant valves for multiple shipsets, and identify Flow Control as designing and manufacturing highly engineered valves, pumps, motors, generators, electronics and systems for military/naval programs.",Reactor-plant valves; nuclear-propulsion valves; flow-control equipment; spare components,Discrete equipment / component shipset,"Delivered as valves and valve shipsets/spares for nuclear propulsion and ship fluid systems. These are engineered equipment components, not modules or raw material.",Sources directly state Curtiss-Wright Flow Control awards for Virginia-class reactor-plant/nuclear-propulsion valves.,https://curtisswright.com/news/press-releases/news-release-details/2011/Curtiss-Wright-Awarded-66-Million-Contract-for-US-Navy-Virginia-Class-Submarine-Program | https://www.prnewswire.com/news-releases/curtiss-wright-awarded-66-million-contract-for-us-navy-virginia-class-program-117403738.html | https://curtisswright.com/news/press-releases/news-release-details/2008/Curtiss-Wright-Awarded-83-Million-Contract-for-US-Navy-Virginia-Class-Submarine-and-Ford-Class-Aircraft-Carrier-Programs | https://www.vma.org/news/88188/Curtiss-Wright-Flow-Control-Awarded-40-Million-in-Contracts-for-U.S.-Navy-Nuclear-Powered-Ships.htm
34,K3XPS1HXNBF3,"B & F MACHINE CO., INC.","B & F Machine Co., Inc.",High,Submarine-manufacturing specific; Virginia-class not named in source found,"B & F Machine is a precision machine shop that publicly states it is using funding awarded by Electric Boat to build a facility to bore and hone long parts for submarine manufacturing and provide precision parts to submarine manufacturers. Federal profiles identify it as a machine shop/manufacturer. Its likely role is precision machining of long, tight-tolerance submarine parts rather than supplying a complete subsystem.",Precision machining; boring and honing long parts; submarine precision parts,Discrete machined component / mid-finished component,"Delivered as bored/honed long parts and other precision-machined components, potentially finished or semi-finished for integration into larger assemblies by prime shipyards or higher-tier suppliers.",B&F’s own update explicitly says Electric Boat-funded facility for long parts for submarine manufacturing.,https://bfmachine.com/whats-new/ | https://www.highergov.com/awardee/b-f-machine-co-inc-12297239/ | https://opengovus.com/sam-entity/K3XPS1HXNBF3
35,FBJ9NCJE2J56,"HUNT VALVE COMPANY, INC.","Hunt Valve Company, Inc. / Fairbanks Morse Defense Hunt Valve",High,Virginia-class and Columbia-class specific,"Hunt Valve, a Fairbanks Morse Defense operation, is documented as a major supplier of valves for construction of new Virginia-class and Columbia-class submarines. Fairbanks Morse Defense announced purchase orders totaling $96 million to provide valves for 12 Virginia-class and five Columbia-class submarines, including ship-service ball valves and forged high-pressure system valves. Hunt/FMD also markets Navy-standard gate, globe, ball and relief valves.",Ship-service ball valves; forged high-pressure system valves; Navy-standard valves,Discrete equipment / valve assembly,Delivered as valves and valve assemblies for submarine ship-service and high-pressure systems. These are finished equipment components integrated into submarine fluid systems.,FMD official announcement directly names Virginia-class construction and valve types.,https://www.fairbanksmorsedefense.com/blog/fairbanks-morse-defenses-hunt-valve-awarded-96-million-in-pos-to-deliver-essential-valves-for-virginia-and-columbia-class-submarine-programs/ | https://www.fairbanksmorsedefense.com/solutions/valves/ | https://www.navaltoday.com/2025/01/08/fairbanks-morse-defense-to-provide-equipment-for-us-navys-submarines/ | https://www.businesswire.com/news/home/20210913005669/en/Fairbanks-Morse-Defense-Acquires-Hunt-Valve-Company-Inc.
