psc,desc,vendors,assoc_dollars_$M
2010,SHIP AND BOAT PROPULSION COMPONENTS,13,708.13
2040,MARINE HARDWARE AND HULL ITEMS,17,597.84
1675,SPACE VEHICLE COMPONENTS,3,443.84
1325,BOMBS,2,443.52
9640,IRON AND STEEL PRIMARY AND SEMIFINISHED PRODUCTS,7,410.72
AC12,National Defense R&D Services; Department of Defense - Military; Applied Research,5,403.46
4320,POWER AND HAND PUMPS,7,396.34
9530,"BARS AND RODS, NONFERROUS BASE METAL",6,385.46
AC31,National Defense R&D Services; Defense-related activities; Basic Research,4,382.2
AC11,National Defense R&D Services; Department of Defense - Military; Basic Research,4,375.1
AC33,R&D- DEFENSE SYSTEM: SHIPS (ADVANCED DEVELOPMENT),2,374.14
1620,AIRCRAFT LANDING GEAR COMPONENTS,5,365.48
AC32,National Defense R&D Services; Defense-related activities; Applied Research,3,363.42
1710,AIRCRAFT LANDING EQUIPMENT,3,362.13
1560,AIRFRAME STRUCTURAL COMPONENTS,7,361.98
3820,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",3,359.81
3615,PULP AND PAPER INDUSTRIES MACHINERY,2,359.4
9510,BARS AND RODS,5,359.01
3670,"SPECIALIZED SEMICONDUCTOR, MICROCIRCUIT, AND PRINTED CIRCUIT BOARD MANUFACTURING MACHINERY",2,359.0
4920,AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,3,358.95
1420,GUIDED MISSILE COMPONENTS,4,357.18
1336,GUIDED MISSILE WARHEADS AND EXPLOSIVE COMPONENTS,2,356.67
1410,GUIDED MISSILES,2,356.67
AC34,National Defense R&D Services; Defense-related activities; R&D Administrative Expenses,2,356.43
1340,"ROCKETS, ROCKET AMMUNITION AND ROCKET COMPONENTS",3,356.2
3605,FOOD PRODUCTS MACHINERY AND EQUIPMENT,3,356.09
1610,AIRCRAFT PROPELLERS AND COMPONENTS,2,355.83
1615,"HELICOPTER ROTOR BLADES, DRIVE MECHANISMS AND COMPONENTS",2,355.83
2845,ROCKET ENGINES AND COMPONENTS,2,355.7
3693,INDUSTRIAL ASSEMBLY MACHINES,2,355.7
3805,EARTH MOVING AND EXCAVATING EQUIPMENT,2,355.58
3895,MISCELLANEOUS CONSTRUCTION EQUIPMENT,2,355.58
AC23,National Defense R&D Services; Atomic energy defense activities; Experimental Development,2,355.55
AC15,National Defense R&D Services; Department of Defense - Military; Expenses for R&D Facilities and Major Equipment,2,355.55
AC35,National Defense R&D Services; Defense-related activities; Expenses for R&D Facilities and Major Equipment,2,355.55
1338,"GUIDED MISSILE AND SPACE VEHICLE INERT PROPULSION UNITS, SOLID FUEL; AND COMPONENTS",1,355.37
1550,UNMANNED AIRCRAFT,1,355.37
1725,SPACE VEHICLE LAUNCHERS,1,355.37
2350,"COMBAT, ASSAULT, AND TACTICAL VEHICLES, TRACKED",1,355.37
2355,"COMBAT, ASSAULT, AND TACTICAL VEHICLES, WHEELED",1,355.37
3446,FORGING MACHINERY AND HAMMERS,1,355.37
3660,INDUSTRIAL SIZE REDUCTION MACHINERY,1,355.37
3835,PETROLEUM PRODUCTION AND DISTRIBUTION EQUIPMENT,1,355.37
4470,NUCLEAR REACTORS,1,355.37
5420,"BRIDGES, FIXED AND FLOATING",1,355.37
AC13,National Defense R&D Services; Department of Defense - Military; Experimental Development,1,355.37
AC14,National Defense R&D Services; Department of Defense - Military; R&D Administrative Expenses,1,355.37
AC21,National Defense R&D Services; Atomic energy defense activities; Basic Research,1,355.37
AC22,National Defense R&D Services; Atomic energy defense activities; Applied Research,1,355.37
AC24,National Defense R&D Services; Atomic energy defense activities; R&D Administrative Expenses,1,355.37
AC25,National Defense R&D Services; Atomic energy defense activities; Expenses for R&D Facilities and Major Equipment,1,355.37
3020,"GEARS, PULLEYS, SPROCKETS, AND TRANSMISSION CHAIN",5,226.66
3040,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,9,213.71
J030,"MAINTENANCE, REPAIR, AND REBUILDING OF EQUIPMENT- MECHANICAL POWER TRANSMISSION EQUIPMENT",5,201.16
3010,TORQUE CONVERTERS AND SPEED CHANGERS,3,173.26
H230,EQUIPMENT AND MATERIALS TESTING- MECHANICAL POWER TRANSMISSION EQUIPMENT,1,169.17
H330,INSPECTION- MECHANICAL POWER TRANSMISSION EQUIPMENT,1,169.17
K030,MODIFICATION OF EQUIPMENT- MECHANICAL POWER TRANSMISSION EQUIPMENT,1,169.17
L030,TECHNICAL REPRESENTATIVE- MECHANICAL POWER TRANSMISSION EQUIPMENT,1,169.17
N030,INSTALLATION OF EQUIPMENT- MECHANICAL POWER TRANSMISSION EQUIPMENT,1,169.17
2825,STEAM TURBINES AND COMPONENTS,6,155.79
6150,MISCELLANEOUS ELECTRIC POWER AND DISTRIBUTION EQUIPMENT,12,144.16
5935,"CONNECTORS, ELECTRICAL",9,144.0
2090,MISCELLANEOUS SHIP AND MARINE EQUIPMENT,16,126.03
2830,WATER TURBINES AND WATER WHEELS; AND COMPONENTS,3,120.44
1905,COMBAT SHIPS AND LANDING VESSELS,5,119.44
4820,"VALVES, NONPOWERED",18,117.63
5995,"CABLE, CORD, AND WIRE ASSEMBLIES: COMMUNICATION EQUIPMENT",7,116.82
4810,"VALVES, POWERED",12,110.34
1015,"GUNS, 75MM THROUGH 125MM",2,88.49
1020,"GUNS, OVER 125MM THROUGH 150MM",2,88.49
1025,"GUNS, OVER 150MM THROUGH 200MM",1,88.14
1355,"TORPEDOS AND COMPONENTS, INERT",1,88.14
1356,"TORPEDOS AND COMPONENTS, EXPLOSIVE",1,88.14
6125,"CONVERTERS, ELECTRICAL, ROTATING",5,82.64
6115,"GENERATORS AND GENERATOR SETS, ELECTRICAL",6,81.65
6120,TRANSFORMERS: DISTRIBUTION AND POWER STATION,2,72.24
4730,"HOSE, PIPE, TUBE, LUBRICATION, AND RAILING FITTINGS",11,70.45
4710,"PIPE, TUBE AND RIGID TUBING",11,68.98
3470,"MACHINE SHOP SETS, KITS, AND OUTFITS",2,65.57
5975,ELECTRICAL HARDWARE AND SUPPLIES,12,64.66
3120,"BEARINGS, PLAIN, UNMOUNTED",8,59.59
R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,9,57.77
H966,"OTHER QUALITY CONTROL, TESTING, AND INSPECTION- INSTRUMENTS AND LABORATORY EQUIPMENT",1,57.49
3450,"MACHINE TOOLS, PORTABLE",6,52.31
3419,MISCELLANEOUS MACHINE TOOLS,8,51.12
5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,15,46.76
6110,ELECTRICAL CONTROL EQUIPMENT,12,42.66
9540,"STRUCTURAL SHAPES, NONFERROUS BASE METAL",4,42.36
2840,"GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",2,42.31
5280,"SETS, KITS, AND OUTFITS OF MEASURING TOOLS",2,41.32
J020,"MAINTENANCE, REPAIR, AND REBUILDING OF EQUIPMENT- SHIP AND MARINE EQUIPMENT",7,40.57
6680,"LIQUID AND GAS FLOW, LIQUID LEVEL, AND MECHANICAL MOTION MEASURING INSTRUMENTS",4,33.91
6210,INDOOR AND OUTDOOR ELECTRIC LIGHTING FIXTURES,7,33.15
2835,"GAS TURBINES AND JET ENGINES; NON-AIRCRAFT PRIME MOVER, AIRCRAFT NON-PRIME MOVER, AND COMPONENTS",2,32.3
5330,PACKING AND GASKET MATERIALS,8,31.69
5950,COILS AND TRANSFORMERS,4,30.86
5920,"FUSES, ARRESTORS, ABSORBERS, AND PROTECTORS",3,30.66
3130,"BEARINGS, MOUNTED",2,30.62
5925,CIRCUIT BREAKERS,4,30.55
6145,"WIRE AND CABLE, ELECTRICAL",8,30.48
6320,SHIPBOARD ALARM AND SIGNAL SYSTEMS,2,28.53
AG12,Energy R&D  Services; Energy Supply; Applied Research,1,28.27
H131,QUALITY CONTROL- BEARINGS,1,28.27
3449,MISCELLANEOUS SECONDARY METAL FORMING AND CUTTING MACHINES,1,26.26
H195,"QUALITY CONTROL- METAL BARS, SHEETS, AND SHAPES",1,26.26
5970,ELECTRICAL INSULATORS AND INSULATING MATERIALS,3,25.54
J043,"MAINTENANCE, REPAIR, AND REBUILDING OF EQUIPMENT- PUMPS AND COMPRESSORS",4,24.26
R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,4,23.98
R706,SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,3,23.52
4210,FIRE FIGHTING EQUIPMENT,6,22.68
5340,"HARDWARE, COMMERCIAL",5,22.54
5310,NUTS AND WASHERS,11,21.86
5331,O-RING,4,20.9
6685,"PRESSURE, TEMPERATURE, AND HUMIDITY MEASURING AND CONTROLLING INSTRUMENTS",9,20.84
5895,MISCELLANEOUS COMMUNICATION EQUIPMENT,5,19.96
5998,"ELECTRICAL AND ELECTRONIC ASSEMBLIES, BOARDS, CARDS, AND ASSOCIATED HARDWARE",13,19.71
AR11,"Space  R&D  Services; Space flight, research and supporting activities; Basic Research",1,18.83
AH32,R&D- ENVIRONMENTAL PROTECTION: WATER POLLUTION (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),1,18.77
AH34,R&D- ENVIRONMENTAL PROTECTION: WATER POLLUTION (ENGINEERING DEVELOPMENT),1,18.77
5365,"BUSHINGS, RINGS, SHIMS, AND SPACERS",7,18.47
1140,NUCLEAR COMPONENTS,2,18.3
W043,LEASE OR RENTAL OF EQUIPMENT- PUMPS AND COMPRESSORS,2,17.28
4520,SPACE AND WATER HEATING EQUIPMENT,3,17.18
2950,TURBOSUPERCHARGER AND COMPONENTS,1,17.0
5120,"HAND TOOLS, NONEDGED, NONPOWERED",5,16.85
M1NA,OPERATION OF FUEL SUPPLY FACILITIES,1,15.59
N020,INSTALLATION OF EQUIPMENT- SHIP AND MARINE EQUIPMENT,4,14.77
W041,"LEASE OR RENTAL OF EQUIPMENT- REFRIGERATION, AIR CONDITIONING, AND AIR CIRCULATING EQUIPMENT",2,13.85
W020,LEASE OR RENTAL OF EQUIPMENT- SHIP AND MARINE EQUIPMENT,2,13.77
3416,LATHES,6,13.37
3417,MILLING MACHINES,6,13.37
W030,LEASE OR RENTAL OF EQUIPMENT- MECHANICAL POWER TRANSMISSION EQUIPMENT,1,13.33
W056,LEASE OR RENTAL OF EQUIPMENT- CONSTRUCTION AND BUILDING MATERIALS,1,13.33
W059,LEASE OR RENTAL OF EQUIPMENT- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS,1,13.33
W061,LEASE OR RENTAL OF EQUIPMENT- ELECTRIC WIRE AND POWER DISTRIBUTION EQUIPMENT,1,13.33
3695,MISCELLANEOUS SPECIAL INDUSTRY MACHINERY,5,12.99
3411,BORING MACHINES,5,12.86
1680,MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS,12,12.37
6130,"CONVERTERS, ELECTRICAL, NONROTATING",9,11.99
1040,CHEMICAL WEAPONS AND EQUIPMENT,1,11.77
6105,"MOTORS, ELECTRICAL",8,11.65
H242,"EQUIPMENT AND MATERIALS TESTING- FIRE FIGHTING, RESCUE, AND SAFETY EQUIPMENT; ENVIRONMENTAL PROTECTION EQUIPMENT AND MATERIALS",3,11.58
H342,"INSPECTION- FIRE FIGHTING, RESCUE, AND SAFETY EQUIPMENT; ENVIRONMENTAL PROTECTION EQUIPMENT AND MATERIALS",3,11.58
L042,"TECHNICAL REPRESENTATIVE- FIRE FIGHTING, RESCUE, AND SAFETY EQUIPMENT; ENVIRONMENTAL PROTECTION EQUIPMENT AND MATERIALS",3,11.58
N042,"INSTALLATION OF EQUIPMENT- FIRE FIGHTING, RESCUE, AND SAFETY EQUIPMENT; ENVIRONMENTAL PROTECTION EQUIPMENT AND MATERIALS",3,11.33
1730,AIRCRAFT GROUND SERVICING EQUIPMENT,3,11.14
H142,"QUALITY CONTROL- FIRE FIGHTING, RESCUE, AND SAFETY EQUIPMENT; ENVIRONMENTAL PROTECTION EQUIPMENT AND MATERIALS",2,11.13
K042,"MODIFICATION OF EQUIPMENT- FIRE FIGHTING, RESCUE, AND SAFETY EQUIPMENT; ENVIRONMENTAL PROTECTION EQUIPMENT AND MATERIALS",2,11.13
J998,NON-NUCLEAR SHIP REPAIR (EAST),2,11.01
8145,SPECIALIZED SHIPPING AND STORAGE CONTAINERS,1,10.8
Z2ED,REPAIR OR ALTERATION OF SHIP CONSTRUCTION AND REPAIR FACILITIES,1,10.77
2030,DECK MACHINERY,3,10.59
1990,MISCELLANEOUS VESSELS,3,9.97
V112,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: MOTOR FREIGHT,1,9.81
V114,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: STEVEDORING,1,9.81
V115,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: VESSEL FREIGHT,1,9.81
W035,LEASE OR RENTAL OF EQUIPMENT- SERVICE AND TRADE EQUIPMENT,1,9.81
3950,"WINCHES, HOISTS, CRANES, AND DERRICKS",3,9.47
2590,MISCELLANEOUS VEHICULAR COMPONENTS,4,9.35
2240,LOCOMOTIVE AND RAIL CAR ACCESSORIES AND COMPONENTS,2,9.32
1910,"TRANSPORT VESSELS, PASSENGER AND TROOP",1,8.82
1920,FISHING VESSELS,1,8.82
1940,SMALL CRAFT,1,8.82
1950,FLOATING DRYDOCKS,1,8.82
9520,STRUCTURAL SHAPES,1,8.82
4330,"CENTRIFUGALS, SEPARATORS, AND PRESSURE AND VACUUM FILTERS",4,8.42
4140,"FANS, AIR CIRCULATORS, AND BLOWER EQUIPMENT",4,8.37
3413,DRILLING AND TAPPING MACHINES,5,8.33
3110,"BEARINGS, ANTIFRICTION, UNMOUNTED",4,7.67
AJ11,General Science and Technology R&D Services; General science and technology; Basic Research,1,7.66
5360,"COIL, FLAT, LEAF, AND WIRE SPRINGS",2,7.54
6625,ELECTRICAL AND ELECTRONIC PROPERTIES MEASURING AND TESTING INSTRUMENTS,5,7.49
J059,"MAINTENANCE, REPAIR, AND REBUILDING OF EQUIPMENT- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS",4,7.04
5945,RELAYS AND SOLENOIDS,4,6.83
2820,"STEAM ENGINES, RECIPROCATING; AND COMPONENTS",1,6.81
2930,"ENGINE COOLING SYSTEM COMPONENTS, NONAIRCRAFT",1,6.81
R799,SUPPORT- MANAGEMENT: OTHER,3,6.75
5962,"MICROCIRCUITS, ELECTRONIC",2,6.47
5306,BOLTS,8,6.34
5307,STUDS,8,6.34
7B22,IT AND TELECOM - COMPUTE: SERVERS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),3,6.19
5915,FILTERS AND NETWORKS,3,6.05
1220,FIRE CONTROL COMPUTING SIGHTS AND DEVICES,1,6.01
R499,SUPPORT- PROFESSIONAL: OTHER,3,5.99
4935,"GUIDED MISSILE MAINTENANCE, REPAIR, AND CHECKOUT SPECIALIZED EQUIPMENT",3,5.91
5930,SWITCHES,6,5.71
3426,METAL FINISHING EQUIPMENT,2,5.7
Y1ED,CONSTRUCTION OF SHIP CONSTRUCTION AND REPAIR FACILITIES,1,5.65
1740,AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,1,5.35
5305,SCREWS,7,5.33
Z2QA,REPAIR OR ALTERATION OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),2,5.25
H248,EQUIPMENT AND MATERIALS TESTING- VALVES,2,5.11
5130,"HAND TOOLS, POWER DRIVEN",4,5.09
3431,ELECTRIC ARC WELDING EQUIPMENT,1,5.03
2895,MISCELLANEOUS ENGINES AND COMPONENTS,3,4.86
Z2EZ,REPAIR OR ALTERATION OF OTHER INDUSTRIAL BUILDINGS,2,4.84
5325,FASTENING DEVICES,6,4.75
2815,DIESEL ENGINES AND COMPONENTS,3,4.58
R401,SUPPORT- PROFESSIONAL: PERSONAL CARE (NON-MEDICAL),1,4.52
R418,SUPPORT- PROFESSIONAL: LEGAL,1,4.52
R426,SUPPORT- PROFESSIONAL: COMMUNICATIONS,1,4.52
R497,SUPPORT- PROFESSIONAL: PERSONAL SERVICES CONTRACTS,1,4.52
R699,SUPPORT- ADMINISTRATIVE: OTHER,1,4.52
R703,SUPPORT- MANAGEMENT: ACCOUNTING,1,4.52
R704,SUPPORT- MANAGEMENT: AUDITING,1,4.52
R707,SUPPORT- MANAGEMENT: CONTRACT/PROCUREMENT/ACQUISITION SUPPORT,1,4.52
R708,SUPPORT- MANAGEMENT: PUBLIC RELATIONS,1,4.52
R710,SUPPORT- MANAGEMENT: FINANCIAL,1,4.52
U099,EDUCATION/TRAINING- OTHER,2,4.44
1270,AIRCRAFT GUNNERY FIRE CONTROL COMPONENTS,2,4.35
J019,"MAINTENANCE, REPAIR, AND REBUILDING OF EQUIPMENT- SHIPS, SMALL CRAFT, PONTOONS, AND FLOATING DOCKS",2,4.31
Y1EZ,CONSTRUCTION OF OTHER INDUSTRIAL BUILDINGS,1,4.08
Y1FB,CONSTRUCTION OF RECREATIONAL BUILDINGS,1,4.08
Y1FC,CONSTRUCTION OF TROOP HOUSING FACILITIES,1,4.08
Y1FD,CONSTRUCTION OF DINING FACILITIES,1,4.08
Y1GZ,CONSTRUCTION OF OTHER WAREHOUSE BUILDINGS,1,4.08
Y1JZ,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,1,4.08
Z200,REPAIR OR ALTERATION OF STRUCTURES AND FACILITIES,1,4.08
Z2AA,REPAIR OR ALTERATION OF OFFICE BUILDINGS,1,4.08
Z2AB,REPAIR OR ALTERATION OF CONFERENCE SPACE AND FACILITIES,1,4.08
Z2AZ,REPAIR OR ALTERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,1,4.08
Z2CA,REPAIR OR ALTERATION OF SCHOOLS,1,4.08
Z2CZ,REPAIR OR ALTERATION OF OTHER EDUCATIONAL BUILDINGS,1,4.08
Z2EB,REPAIR OR ALTERATION OF MAINTENANCE BUILDINGS,1,4.08
Z2FB,REPAIR OR ALTERATION OF RECREATIONAL BUILDINGS,1,4.08
Z2FC,REPAIR OR ALTERATION OF TROOP HOUSING FACILITIES,1,4.08
Z2FD,REPAIR OR ALTERATION OF DINING FACILITIES,1,4.08
Z2GZ,REPAIR OR ALTERATION OF OTHER WAREHOUSE BUILDINGS,1,4.08
Z2JZ,REPAIR OR ALTERATION OF MISCELLANEOUS BUILDINGS,1,4.08
6032,FIBER OPTIC LIGHT SOURCES AND PHOTO DETECTORS,2,4.05
6695,COMBINATION AND MISCELLANEOUS INSTRUMENTS,2,4.02
3620,RUBBER AND PLASTICS WORKING MACHINERY,1,4.02
