Class,FY,Procurement Qty,Total Ship Cost $M,Plans $M,GFE Sum $M (Propulsion+Electronics+Ordnance),Other+Change Orders $M,Basic Construction $M (prime contract base),Basic Construction % of Total,Industry Low Estimate (50% of BC) $M,Industry Mid Estimate (60% of BC) $M,Industry High Estimate (65% of BC) $M,FFATA-Visible First-Tier Subawards $M,FFATA-Visible % of BC,Unseen Layer at Mid (60% - FFATA) $M,Sourcing Notes
Columbia,2020,,,0.000,0.000,0.000,,,,,,154.370,,,"Total Ship Cost / GFE / Basic Construction: SCN budget books P-5c (primary, see scn_p5c_per_fy_reconciled.csv). FFATA-Visible: SAM.gov subaward filings (primary, see nc_annual_by_piid.csv). Industry low/mid/high (50/60/65% of BC): analyst consensus for complex shipbuilding purchased+subbed content. NOT primary-sourced for submarines specifically — no GAO/CRS/CBO report we reviewed states a make/buy ratio. Supporting evidence: 70% sole-source suppliers (CRS-RL32418/R41129); 70% smaller supplier base than historical (GAO-21-257); $10B+ DOD submarine industrial base investment (GAO-26-109068)."
Columbia,2021,1,16121.600,6946.282,2727.695,311.922,5979.402,0.3709,2989.701,3587.641,3886.611,144.000,0.0241,3443.641,"Total Ship Cost / GFE / Basic Construction: SCN budget books P-5c (primary, see scn_p5c_per_fy_reconciled.csv). FFATA-Visible: SAM.gov subaward filings (primary, see nc_annual_by_piid.csv). Industry low/mid/high (50/60/65% of BC): analyst consensus for complex shipbuilding purchased+subbed content. NOT primary-sourced for submarines specifically — no GAO/CRS/CBO report we reviewed states a make/buy ratio. Supporting evidence: 70% sole-source suppliers (CRS-RL32418/R41129); 70% smaller supplier base than historical (GAO-21-257); $10B+ DOD submarine industrial base investment (GAO-26-109068)."
Columbia,2022,,,0.000,0.000,0.000,,,,,,293.040,,,"Total Ship Cost / GFE / Basic Construction: SCN budget books P-5c (primary, see scn_p5c_per_fy_reconciled.csv). FFATA-Visible: SAM.gov subaward filings (primary, see nc_annual_by_piid.csv). Industry low/mid/high (50/60/65% of BC): analyst consensus for complex shipbuilding purchased+subbed content. NOT primary-sourced for submarines specifically — no GAO/CRS/CBO report we reviewed states a make/buy ratio. Supporting evidence: 70% sole-source suppliers (CRS-RL32418/R41129); 70% smaller supplier base than historical (GAO-21-257); $10B+ DOD submarine industrial base investment (GAO-26-109068)."
Columbia,2023,,,0.000,0.000,0.000,,,,,,1107.610,,,"Total Ship Cost / GFE / Basic Construction: SCN budget books P-5c (primary, see scn_p5c_per_fy_reconciled.csv). FFATA-Visible: SAM.gov subaward filings (primary, see nc_annual_by_piid.csv). Industry low/mid/high (50/60/65% of BC): analyst consensus for complex shipbuilding purchased+subbed content. NOT primary-sourced for submarines specifically — no GAO/CRS/CBO report we reviewed states a make/buy ratio. Supporting evidence: 70% sole-source suppliers (CRS-RL32418/R41129); 70% smaller supplier base than historical (GAO-21-257); $10B+ DOD submarine industrial base investment (GAO-26-109068)."
Columbia,2024,1,10688.811,1443.300,2560.457,209.860,6356.087,0.5946,3178.044,3813.652,4131.457,837.990,0.1318,2975.662,"Total Ship Cost / GFE / Basic Construction: SCN budget books P-5c (primary, see scn_p5c_per_fy_reconciled.csv). FFATA-Visible: SAM.gov subaward filings (primary, see nc_annual_by_piid.csv). Industry low/mid/high (50/60/65% of BC): analyst consensus for complex shipbuilding purchased+subbed content. NOT primary-sourced for submarines specifically — no GAO/CRS/CBO report we reviewed states a make/buy ratio. Supporting evidence: 70% sole-source suppliers (CRS-RL32418/R41129); 70% smaller supplier base than historical (GAO-21-257); $10B+ DOD submarine industrial base investment (GAO-26-109068)."
Columbia,2025,,,0.000,0.000,0.000,,,,,,495.770,,,"Total Ship Cost / GFE / Basic Construction: SCN budget books P-5c (primary, see scn_p5c_per_fy_reconciled.csv). FFATA-Visible: SAM.gov subaward filings (primary, see nc_annual_by_piid.csv). Industry low/mid/high (50/60/65% of BC): analyst consensus for complex shipbuilding purchased+subbed content. NOT primary-sourced for submarines specifically — no GAO/CRS/CBO report we reviewed states a make/buy ratio. Supporting evidence: 70% sole-source suppliers (CRS-RL32418/R41129); 70% smaller supplier base than historical (GAO-21-257); $10B+ DOD submarine industrial base investment (GAO-26-109068)."
Columbia,2026,1,10744.317,1095.773,2125.001,261.279,7159.768,0.6664,3579.884,4295.861,4653.849,0.000,0.0000,4295.861,"Total Ship Cost / GFE / Basic Construction: SCN budget books P-5c (primary, see scn_p5c_per_fy_reconciled.csv). FFATA-Visible: SAM.gov subaward filings (primary, see nc_annual_by_piid.csv). Industry low/mid/high (50/60/65% of BC): analyst consensus for complex shipbuilding purchased+subbed content. NOT primary-sourced for submarines specifically — no GAO/CRS/CBO report we reviewed states a make/buy ratio. Supporting evidence: 70% sole-source suppliers (CRS-RL32418/R41129); 70% smaller supplier base than historical (GAO-21-257); $10B+ DOD submarine industrial base investment (GAO-26-109068)."
Columbia,2027,1,10486.369,861.527,2422.192,247.207,6853.733,0.6536,3426.867,4112.240,4454.926,0.000,0.0000,4112.240,"Total Ship Cost / GFE / Basic Construction: SCN budget books P-5c (primary, see scn_p5c_per_fy_reconciled.csv). FFATA-Visible: SAM.gov subaward filings (primary, see nc_annual_by_piid.csv). Industry low/mid/high (50/60/65% of BC): analyst consensus for complex shipbuilding purchased+subbed content. NOT primary-sourced for submarines specifically — no GAO/CRS/CBO report we reviewed states a make/buy ratio. Supporting evidence: 70% sole-source suppliers (CRS-RL32418/R41129); 70% smaller supplier base than historical (GAO-21-257); $10B+ DOD submarine industrial base investment (GAO-26-109068)."
Virginia,2020,2,,0.000,0.000,0.000,,,,,,198.890,,,"Total Ship Cost / GFE / Basic Construction: SCN budget books P-5c (primary, see scn_p5c_per_fy_reconciled.csv). FFATA-Visible: SAM.gov subaward filings (primary, see nc_annual_by_piid.csv). Industry low/mid/high (50/60/65% of BC): analyst consensus for complex shipbuilding purchased+subbed content. NOT primary-sourced for submarines specifically — no GAO/CRS/CBO report we reviewed states a make/buy ratio. Supporting evidence: 70% sole-source suppliers (CRS-RL32418/R41129); 70% smaller supplier base than historical (GAO-21-257); $10B+ DOD submarine industrial base investment (GAO-26-109068)."
Virginia,2021,2,,0.000,0.000,0.000,,,,,,430.890,,,"Total Ship Cost / GFE / Basic Construction: SCN budget books P-5c (primary, see scn_p5c_per_fy_reconciled.csv). FFATA-Visible: SAM.gov subaward filings (primary, see nc_annual_by_piid.csv). Industry low/mid/high (50/60/65% of BC): analyst consensus for complex shipbuilding purchased+subbed content. NOT primary-sourced for submarines specifically — no GAO/CRS/CBO report we reviewed states a make/buy ratio. Supporting evidence: 70% sole-source suppliers (CRS-RL32418/R41129); 70% smaller supplier base than historical (GAO-21-257); $10B+ DOD submarine industrial base investment (GAO-26-109068)."
Virginia,2022,2,6915.757,252.399,1587.366,163.018,4758.283,0.6880,2379.142,2854.970,3092.884,241.070,0.0507,2613.900,"Total Ship Cost / GFE / Basic Construction: SCN budget books P-5c (primary, see scn_p5c_per_fy_reconciled.csv). FFATA-Visible: SAM.gov subaward filings (primary, see nc_annual_by_piid.csv). Industry low/mid/high (50/60/65% of BC): analyst consensus for complex shipbuilding purchased+subbed content. NOT primary-sourced for submarines specifically — no GAO/CRS/CBO report we reviewed states a make/buy ratio. Supporting evidence: 70% sole-source suppliers (CRS-RL32418/R41129); 70% smaller supplier base than historical (GAO-21-257); $10B+ DOD submarine industrial base investment (GAO-26-109068)."
Virginia,2023,2,7250.579,192.169,1634.461,171.229,5095.448,0.7028,2547.724,3057.269,3312.041,939.900,0.1845,2117.369,"Total Ship Cost / GFE / Basic Construction: SCN budget books P-5c (primary, see scn_p5c_per_fy_reconciled.csv). FFATA-Visible: SAM.gov subaward filings (primary, see nc_annual_by_piid.csv). Industry low/mid/high (50/60/65% of BC): analyst consensus for complex shipbuilding purchased+subbed content. NOT primary-sourced for submarines specifically — no GAO/CRS/CBO report we reviewed states a make/buy ratio. Supporting evidence: 70% sole-source suppliers (CRS-RL32418/R41129); 70% smaller supplier base than historical (GAO-21-257); $10B+ DOD submarine industrial base investment (GAO-26-109068)."
Virginia,2024,2,11377.643,207.166,1683.842,255.664,9070.762,0.7972,4535.381,5442.457,5895.995,462.230,0.0510,4980.227,"Total Ship Cost / GFE / Basic Construction: SCN budget books P-5c (primary, see scn_p5c_per_fy_reconciled.csv). FFATA-Visible: SAM.gov subaward filings (primary, see nc_annual_by_piid.csv). Industry low/mid/high (50/60/65% of BC): analyst consensus for complex shipbuilding purchased+subbed content. NOT primary-sourced for submarines specifically — no GAO/CRS/CBO report we reviewed states a make/buy ratio. Supporting evidence: 70% sole-source suppliers (CRS-RL32418/R41129); 70% smaller supplier base than historical (GAO-21-257); $10B+ DOD submarine industrial base investment (GAO-26-109068)."
Virginia,2025,1,9500.534,2595.816,1318.214,144.683,5326.544,0.5607,2663.272,3195.926,3462.254,261.860,0.0492,2934.066,"Total Ship Cost / GFE / Basic Construction: SCN budget books P-5c (primary, see scn_p5c_per_fy_reconciled.csv). FFATA-Visible: SAM.gov subaward filings (primary, see nc_annual_by_piid.csv). Industry low/mid/high (50/60/65% of BC): analyst consensus for complex shipbuilding purchased+subbed content. NOT primary-sourced for submarines specifically — no GAO/CRS/CBO report we reviewed states a make/buy ratio. Supporting evidence: 70% sole-source suppliers (CRS-RL32418/R41129); 70% smaller supplier base than historical (GAO-21-257); $10B+ DOD submarine industrial base investment (GAO-26-109068)."
Virginia,2026,1,5389.109,219.603,1633.585,232.447,3136.792,0.5821,1568.396,1882.075,2038.915,0.300,0.0001,1881.775,"Total Ship Cost / GFE / Basic Construction: SCN budget books P-5c (primary, see scn_p5c_per_fy_reconciled.csv). FFATA-Visible: SAM.gov subaward filings (primary, see nc_annual_by_piid.csv). Industry low/mid/high (50/60/65% of BC): analyst consensus for complex shipbuilding purchased+subbed content. NOT primary-sourced for submarines specifically — no GAO/CRS/CBO report we reviewed states a make/buy ratio. Supporting evidence: 70% sole-source suppliers (CRS-RL32418/R41129); 70% smaller supplier base than historical (GAO-21-257); $10B+ DOD submarine industrial base investment (GAO-26-109068)."
Virginia,2027,2,11437.036,223.443,1897.988,256.278,8889.310,0.7772,4444.655,5333.586,5778.051,0.000,0.0000,5333.586,"Total Ship Cost / GFE / Basic Construction: SCN budget books P-5c (primary, see scn_p5c_per_fy_reconciled.csv). FFATA-Visible: SAM.gov subaward filings (primary, see nc_annual_by_piid.csv). Industry low/mid/high (50/60/65% of BC): analyst consensus for complex shipbuilding purchased+subbed content. NOT primary-sourced for submarines specifically — no GAO/CRS/CBO report we reviewed states a make/buy ratio. Supporting evidence: 70% sole-source suppliers (CRS-RL32418/R41129); 70% smaller supplier base than historical (GAO-21-257); $10B+ DOD submarine industrial base investment (GAO-26-109068)."
