vintage,pb_year,li,fy,cost_category,qty,value_$M
FY22,2022,1045,2021,Plan Costs,1,6557.555
FY22,2022,1045,2021,Basic Construction/Conversion,,5297.871
FY22,2022,1045,2021,Change Orders,,299.365
FY22,2022,1045,2021,Electronics,,358.141
FY22,2022,1045,2021,Propulsion Equipment,,1700.896
FY22,2022,1045,2021,"Hull, Mechanical, and Electrical",(HM&E),174.348
FY22,2022,1045,2021,Ordnance,,564.115
FY22,2022,1045,2021,Other Cost,,78.242
FY22,2022,1045,2021,Total Ship Estimate,,15030.533
FY22,2022,2013,2022,Plan Costs,2,252.399
FY22,2022,2013,2022,Basic Construction/Conversion,,4758.283
FY22,2022,2013,2022,Change Orders,,95.212
FY22,2022,2013,2022,Electronics,,540.536
FY22,2022,2013,2022,Technology Insertion,,15.398
FY22,2022,2013,2022,Propulsion Equipment,,1046.830
FY22,2022,2013,2022,"Hull, Mechanical, and Electrical",(HM&E),139.293
FY22,2022,2013,2022,Other Cost,,67.806
FY22,2022,2013,2022,Total Ship Estimate,,6915.757
FY23,2023,1045,2021,Plan Costs,1,6557.555
FY23,2023,1045,2021,Basic Construction/Conversion,,5451.193
FY23,2023,1045,2021,Change Orders,,299.365
FY23,2023,1045,2021,Electronics,,358.141
FY23,2023,1045,2021,Propulsion Equipment,,1700.896
FY23,2023,1045,2021,"Hull, Mechanical, and Electrical",(HM&E),174.348
FY23,2023,1045,2021,Ordnance,,564.115
FY23,2023,1045,2021,Other Cost,,73.445
FY23,2023,1045,2021,Total Ship Estimate,,15179.058
FY23,2023,2013,2023,Plan Costs,2,192.169
FY23,2023,2013,2023,Basic Construction/Conversion,,5095.448
FY23,2023,2013,2023,Change Orders,,102.067
FY23,2023,2013,2023,Electronics,,551.346
FY23,2023,2013,2023,Technology Insertion,,15.706
FY23,2023,2013,2023,Propulsion Equipment,,1083.115
FY23,2023,2013,2023,"Hull, Mechanical, and Electrical",(HM&E),141.566
FY23,2023,2013,2023,Other Cost,,69.162
FY23,2023,2013,2023,Total Ship Estimate,,7250.579
FY24,2024,1045,2021,Plan Costs,1,6557.555
FY24,2024,1045,2024,Plan Costs,1,556.415
FY24,2024,1045,2021,Basic Construction/Conversion,,5451.193
FY24,2024,1045,2024,Basic Construction/Conversion,,5770.476
FY24,2024,1045,2021,Change Orders,,299.365
FY24,2024,1045,2024,Change Orders,,286.485
FY24,2024,1045,2021,Electronics,,358.141
FY24,2024,1045,2024,Electronics,,349.701
FY24,2024,1045,2021,Propulsion Equipment,,1700.896
FY24,2024,1045,2024,Propulsion Equipment,,1614.000
FY24,2024,1045,2021,"Hull, Mechanical, and Electrical",,174.348
FY24,2024,1045,2024,"Hull, Mechanical, and Electrical",,119.108
FY24,2024,1045,2021,Ordnance,,564.115
FY24,2024,1045,2024,Ordnance,,522.370
FY24,2024,1045,2021,Other Cost,,73.445
FY24,2024,1045,2024,Other Cost,,66.728
FY24,2024,1045,2021,Total Ship Estimate,,15179.058
FY24,2024,1045,2024,Total Ship Estimate,,9285.283
FY24,2024,2013,2023,Plan Costs,2,192.169
FY24,2024,2013,2024,Plan Costs,2,207.166
FY24,2024,2013,2023,Basic Construction/Conversion,,5095.448
FY24,2024,2013,2024,Basic Construction/Conversion,,7159.762
FY24,2024,2013,2023,Change Orders,,102.067
FY24,2024,2013,2024,Change Orders,,146.118
FY24,2024,2013,2023,Electronics,,551.346
FY24,2024,2013,2024,Electronics,,562.372
FY24,2024,2013,2023,Technology Insertion,,15.706
FY24,2024,2013,2024,Technology Insertion,,16.020
FY24,2024,2013,2023,Propulsion Equipment,,1083.115
FY24,2024,2013,2024,Propulsion Equipment,,1121.470
FY24,2024,2013,2023,"Hull, Mechanical, and Electrical",,141.566
FY24,2024,2013,2024,"Hull, Mechanical, and Electrical",,144.189
FY24,2024,2013,2023,Other Cost,,69.162
FY24,2024,2013,2024,Other Cost,,70.546
FY24,2024,2013,2023,Total Ship Estimate,,7250.579
FY24,2024,2013,2024,Total Ship Estimate,,9427.643
FY25,2025,1045,2021,Plan Costs,1,6557.555
FY25,2025,1045,2024,Plan Costs,1,556.415
FY25,2025,1045,2021,Basic Construction/Conversion,,5451.193
FY25,2025,1045,2024,Basic Construction/Conversion,,5768.379
FY25,2025,1045,2021,Change Orders,,299.365
FY25,2025,1045,2024,Change Orders,,286.485
FY25,2025,1045,2021,Electronics,,358.141
FY25,2025,1045,2024,Electronics,,349.701
FY25,2025,1045,2021,Propulsion Equipment,,1700.896
FY25,2025,1045,2024,Propulsion Equipment,,1614.000
FY25,2025,1045,2021,"Hull, Mechanical, and Electrical",,174.348
FY25,2025,1045,2024,"Hull, Mechanical, and Electrical",,119.108
FY25,2025,1045,2021,Ordnance,,564.115
FY25,2025,1045,2024,Ordnance,,522.370
FY25,2025,1045,2021,Other Cost,,73.445
FY25,2025,1045,2024,Other Cost,,66.618
FY25,2025,1045,2021,Total Ship Estimate,,15179.058
FY25,2025,1045,2024,Total Ship Estimate,,9283.076
FY25,2025,2013,2024,Plan Costs,2,207.166
FY25,2025,2013,2025,Plan Costs,1,382.816
FY25,2025,2013,2024,Basic Construction/Conversion,,7159.762
FY25,2025,2013,2025,Basic Construction/Conversion,,3829.104
FY25,2025,2013,2024,Change Orders,,146.118
FY25,2025,2013,2025,Change Orders,,78.145
FY25,2025,2013,2024,Electronics,,562.372
FY25,2025,2013,2025,Electronics,,313.264
FY25,2025,2013,2024,Technology Insertion,,16.020
FY25,2025,2013,2025,Technology Insertion,,16.340
FY25,2025,2013,2024,Propulsion Equipment,,1121.470
FY25,2025,2013,2025,Propulsion Equipment,,1004.950
FY25,2025,2013,2024,"Hull, Mechanical, and Electrical",,144.189
FY25,2025,2013,2025,"Hull, Mechanical, and Electrical",,98.937
FY25,2025,2013,2024,Other Cost,,70.546
FY25,2025,2013,2025,Other Cost,,35.978
FY25,2025,2013,2024,Total Ship Estimate,,9427.643
FY25,2025,2013,2025,Total Ship Estimate,,5759.534
FY26,2026,1045,2021,Plan Costs,1,6946.282
FY26,2026,1045,2024,Plan Costs,1,1443.300
FY26,2026,1045,2026,Plan Costs,1,969.560
FY26,2026,1045,2021,Basic Construction/Conversion,,5979.078
FY26,2026,1045,2024,Basic Construction/Conversion,,6355.733
FY26,2026,1045,2026,Basic Construction/Conversion,,7127.344
FY26,2026,1045,2021,Change Orders,,238.476
FY26,2026,1045,2024,Change Orders,,143.242
FY26,2026,1045,2026,Change Orders,,179.217
FY26,2026,1045,2021,Electronics,,358.293
FY26,2026,1045,2024,Electronics,,349.701
FY26,2026,1045,2026,Electronics,,361.283
FY26,2026,1045,2021,Propulsion Equipment,,1700.900
FY26,2026,1045,2024,Propulsion Equipment,,1613.999
FY26,2026,1045,2026,Propulsion Equipment,,1294.878
FY26,2026,1045,2021,"Hull, Mechanical, and Electrical",,156.299
FY26,2026,1045,2024,"Hull, Mechanical, and Electrical",,119.108
FY26,2026,1045,2026,"Hull, Mechanical, and Electrical",,102.496
FY26,2026,1045,2021,Ordnance,,668.502
FY26,2026,1045,2024,Ordnance,,596.757
FY26,2026,1045,2026,Ordnance,,465.059
FY26,2026,1045,2021,Other Cost,,73.446
FY26,2026,1045,2024,Other Cost,,66.618
FY26,2026,1045,2026,Other Cost,,43.887
FY26,2026,1045,2021,Total Ship Estimate,,16121.276
FY26,2026,1045,2024,Total Ship Estimate,,10688.458
FY26,2026,1045,2026,Total Ship Estimate,,10543.724
FY26,2026,2013,2024,Plan Costs,2,207.166
FY26,2026,2013,2025,Plan Costs,1,2595.816
FY26,2026,2013,2026,Plan Costs,1,-
FY26,2026,2013,2024,Basic Construction/Conversion,,9070.762
FY26,2026,2013,2025,Basic Construction/Conversion,,5326.544
FY26,2026,2013,2026,Basic Construction/Conversion,,1681.909
FY26,2026,2013,2024,Change Orders,,185.118
FY26,2026,2013,2025,Change Orders,,108.705
FY26,2026,2013,2026,Change Orders,,-
FY26,2026,2013,2024,Electronics,,562.372
FY26,2026,2013,2025,Electronics,,313.264
FY26,2026,2013,2026,Electronics,,598.515
FY26,2026,2013,2024,Technology Insertion,,16.020
FY26,2026,2013,2025,Technology Insertion,,16.340
FY26,2026,2013,2026,Technology Insertion,,-
FY26,2026,2013,2024,Propulsion Equipment,,1121.470
FY26,2026,2013,2025,Propulsion Equipment,,1004.950
FY26,2026,2013,2026,Propulsion Equipment,,1035.070
FY26,2026,2013,2024,"Hull, Mechanical, and Electrical",,144.189
FY26,2026,2013,2025,"Hull, Mechanical, and Electrical",,98.937
FY26,2026,2013,2026,"Hull, Mechanical, and Electrical",,150.015
FY26,2026,2013,2024,Other Cost,,70.546
FY26,2026,2013,2025,Other Cost,,35.978
FY26,2026,2013,2026,Other Cost,,-
FY26,2026,2013,2024,Total Ship Estimate,,11377.643
FY26,2026,2013,2025,Total Ship Estimate,,9500.534
FY26,2026,2013,2026,Total Ship Estimate,,3465.509
FY27,2027,1045,2021,Plan Costs,1,6946.282
FY27,2027,1045,2024,Plan Costs,1,1443.300
FY27,2027,1045,2026,Plan Costs,1,1095.773
FY27,2027,1045,2027,Plan Costs,1,861.527
FY27,2027,1045,2021,Basic Construction/Conversion,,5979.402
FY27,2027,1045,2024,Basic Construction/Conversion,,6356.087
FY27,2027,1045,2026,Basic Construction/Conversion,,7159.768
FY27,2027,1045,2027,Basic Construction/Conversion,,6853.733
FY27,2027,1045,2021,Change Orders,,238.476
FY27,2027,1045,2024,Change Orders,,143.242
FY27,2027,1045,2026,Change Orders,,217.392
FY27,2027,1045,2027,Change Orders,,207.129
FY27,2027,1045,2021,Electronics,,358.293
FY27,2027,1045,2024,Electronics,,349.701
FY27,2027,1045,2026,Electronics,,361.283
FY27,2027,1045,2027,Electronics,,367.634
FY27,2027,1045,2021,Propulsion Equipment,,1700.900
FY27,2027,1045,2024,Propulsion Equipment,,1613.999
FY27,2027,1045,2026,Propulsion Equipment,,1294.878
FY27,2027,1045,2027,Propulsion Equipment,,1541.973
FY27,2027,1045,2021,"Hull, Mechanical, and Electrical",,156.299
FY27,2027,1045,2024,"Hull, Mechanical, and Electrical",,119.107
FY27,2027,1045,2026,"Hull, Mechanical, and Electrical",,102.496
FY27,2027,1045,2027,"Hull, Mechanical, and Electrical",,101.710
FY27,2027,1045,2021,Ordnance,,668.502
FY27,2027,1045,2024,Ordnance,,596.757
FY27,2027,1045,2026,Ordnance,,468.840
FY27,2027,1045,2027,Ordnance,,512.585
FY27,2027,1045,2021,Other Cost,,73.446
FY27,2027,1045,2024,Other Cost,,66.618
FY27,2027,1045,2026,Other Cost,,43.887
FY27,2027,1045,2027,Other Cost,,40.078
FY27,2027,1045,2021,Total Ship Estimate,,16121.600
FY27,2027,1045,2024,Total Ship Estimate,,10688.811
FY27,2027,1045,2026,Total Ship Estimate,,10744.317
FY27,2027,1045,2027,Total Ship Estimate,,10486.369
FY27,2027,2013,2025,Plan Costs,1,2595.816
FY27,2027,2013,2026,Plan Costs,1,219.603
FY27,2027,2013,2027,Plan Costs,2,223.443
FY27,2027,2013,2025,Basic Construction/Conversion,,5326.544
FY27,2027,2013,2026,Basic Construction/Conversion,,3136.792
FY27,2027,2013,2027,Basic Construction/Conversion,,8889.310
FY27,2027,2013,2025,Change Orders,,108.705
FY27,2027,2013,2026,Change Orders,,159.052
FY27,2027,2013,2027,Change Orders,,181.415
FY27,2027,2013,2025,Electronics,,313.264
FY27,2027,2013,2026,Electronics,,598.515
FY27,2027,2013,2027,Electronics,,624.898
FY27,2027,2013,2025,Technology Insertion,,16.340
FY27,2027,2013,2026,Technology Insertion,,16.667
FY27,2027,2013,2027,Technology Insertion,,17.001
FY27,2027,2013,2025,Propulsion Equipment,,1004.950
FY27,2027,2013,2026,Propulsion Equipment,,1035.070
FY27,2027,2013,2027,Propulsion Equipment,,1273.090
FY27,2027,2013,2025,"Hull, Mechanical, and Electrical",,98.937
FY27,2027,2013,2026,"Hull, Mechanical, and Electrical",,150.015
FY27,2027,2013,2027,"Hull, Mechanical, and Electrical",,153.016
FY27,2027,2013,2025,Other Cost,,35.978
FY27,2027,2013,2026,Other Cost,,73.395
FY27,2027,2013,2027,Other Cost,,74.863
FY27,2027,2013,2025,Total Ship Estimate,,9500.534
FY27,2027,2013,2026,Total Ship Estimate,,5389.109
FY27,2027,2013,2027,Total Ship Estimate,,11437.036
