program,piid,vessel_class,builder,work_type,first_award,last_award,n_vendors,repeat_award_share,shared_vendor_pct,shared_vendor_pct_family,dollars_total,d_le_fy12,d_fy2013,d_fy2014,d_fy2015,d_fy2016,d_fy2017,d_fy2018,d_fy2019,d_fy2020,d_fy2021,d_fy2022,d_fy2023,d_fy2024,d_fy2025,d_fy2026,n_le_fy12,n_fy2013,n_fy2014,n_fy2015,n_fy2016,n_fy2017,n_fy2018,n_fy2019,n_fy2020,n_fy2021,n_fy2022,n_fy2023,n_fy2024,n_fy2025,n_fy2026,n_total
ddg,N0002418C2307,DDG-51,HII-Ingalls,structural,2018-11-21,2026-03-06,33,0.9845,0.697,0.697,157.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.469,7.669,13.145,17.754,14.003,18.041,39.925,30.335,0,0,0,0,0,0,0,51,38,41,22,70,69,68,28,387
ddg,N0002418C2307,DDG-51,HII-Ingalls,electrical,2018-10-31,2026-03-06,22,0.9887,0.8636,0.8636,140.565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.967,17.706,28.462,10.924,15.725,7.996,9.79,10.994,0,0,0,0,0,0,0,56,28,58,36,56,44,56,21,355
ddg,N0002418C2307,DDG-51,HII-Ingalls,hvac,2018-11-21,2026-03-06,12,0.9942,0.8333,0.8333,175.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.385,10.381,26.785,14.29,13.845,2.742,5.135,0.549,0,0,0,0,0,0,0,47,21,15,15,32,29,9,4,172
ddg,N0002418C2307,DDG-51,HII-Ingalls,machining,2018-10-08,2026-02-02,11,0.982,0.9091,0.9091,312.253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.626,84.93,19.612,44.36,13.596,5.906,13.653,0.569,0,0,0,0,0,0,0,21,6,12,8,27,12,20,5,111
ddg,N0002418C2307,DDG-51,HII-Ingalls,coatings,2019-09-05,2025-12-08,5,1.0,1.0,1.0,10.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.043,0.192,2.245,4.666,0.492,1.512,1.158,0,0,0,0,0,0,0,1,1,4,7,20,3,10,7,53
ddg,N0002418C2307,DDG-51,HII-Ingalls,castings,2018-10-30,2025-11-26,9,0.9231,0.6667,0.6667,54.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.983,5.833,11.968,3.025,0.13,0.901,1.568,0.076,0,0,0,0,0,0,0,15,6,5,8,1,4,12,1,52
ddg,N0002413C2307,DDG-51,HII-Ingalls,unbucketed,2013-06-26,2026-05-22,159,0.9345,0.6667,0.6667,140.274,0.0,28.845,38.45,23.605,13.827,11.148,11.891,3.227,2.583,3.435,1.943,1.096,0.215,-0.031,0.04,0,60,80,108,126,109,87,50,41,39,26,13,5,3,1,748
ddg,N0002413C2307,DDG-51,HII-Ingalls,piping,2013-06-06,2025-08-15,38,0.9868,0.9474,0.9474,98.556,0.0,19.479,27.799,15.395,12.874,11.304,3.62,3.797,1.296,0.498,1.754,0.411,0.033,0.296,0.0,0,57,89,59,78,60,26,31,17,13,11,9,1,2,0,453
ddg,N0002413C2307,DDG-51,HII-Ingalls,structural,2013-06-21,2025-11-11,27,0.9934,0.7407,0.7407,65.435,0.0,3.308,6.542,14.229,9.782,5.844,3.875,3.955,1.011,0.723,1.497,4.252,6.391,4.255,-0.228,0,9,20,52,45,34,24,20,12,9,7,21,28,22,2,305
ddg,N0002413C2307,DDG-51,HII-Ingalls,electrical,2013-07-02,2025-12-18,15,0.9922,0.8,0.8,69.666,0.0,7.378,11.836,7.054,9.405,13.329,2.916,3.358,5.522,4.697,2.383,0.551,0.95,0.0,0.286,0,24,22,22,38,20,13,30,33,22,11,12,5,0,3,255
ddg,N0002413C2307,DDG-51,HII-Ingalls,machining,2013-06-05,2024-02-20,10,0.9786,1.0,1.0,185.555,0.0,68.465,40.77,3.083,27.934,39.41,1.598,1.247,0.866,1.856,0.068,0.12,0.138,0.0,0.0,0,8,11,11,16,25,22,18,9,15,2,2,1,0,0,140
ddg,N0002413C2307,DDG-51,HII-Ingalls,hvac,2013-06-03,2023-12-12,10,1.0,0.9,0.9,108.168,0.0,19.621,23.336,20.899,11.215,22.694,7.324,1.071,0.205,0.85,0.277,0.37,0.308,0.0,0.0,0,12,18,15,10,23,12,9,6,8,1,3,4,0,0,121
ddg,N0002413C2307,DDG-51,HII-Ingalls,coatings,2014-04-14,2023-03-31,5,0.9667,1.0,1.0,4.008,0.0,0.0,0.296,0.56,0.676,0.138,0.272,0.0,0.0,1.644,0.212,0.211,0.0,0.0,0.0,0,0,2,4,4,3,4,0,0,8,3,2,0,0,0,30
ddg,N0002413C2307,DDG-51,HII-Ingalls,castings,2013-07-24,2019-01-16,4,1.0,1.0,1.0,4.061,0.0,0.795,2.324,0.8,0.075,0.0,0.027,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,9,3,2,0,1,1,0,0,0,0,0,0,0,19
ddg,N0002423C2307,DDG-51,HII-Ingalls,piping,2023-09-30,2026-03-02,32,0.9643,0.9688,0.9688,138.752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.983,68.321,63.471,1.977,0,0,0,0,0,0,0,0,0,0,0,7,92,87,10,196
ddg,N0002423C2307,DDG-51,HII-Ingalls,electrical,2023-11-30,2026-01-30,10,1.0,0.9,0.9,159.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.389,50.552,2.431,0,0,0,0,0,0,0,0,0,0,0,0,49,33,5,87
ddg,N0002423C2307,DDG-51,HII-Ingalls,structural,2023-12-05,2026-01-13,11,0.9535,0.9091,0.9091,57.454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.378,25.323,0.753,0,0,0,0,0,0,0,0,0,0,0,0,56,26,4,86
ddg,N0002423C2307,DDG-51,HII-Ingalls,hvac,2023-09-14,2025-09-22,6,1.0,0.8333,0.8333,177.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.147,48.204,81.612,0.0,0,0,0,0,0,0,0,0,0,0,0,2,20,21,0,43
ddg,N0002423C2307,DDG-51,HII-Ingalls,unbucketed,2024-07-09,2025-11-25,11,0.8519,1.0,1.0,9.818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.843,4.009,2.967,0,0,0,0,0,0,0,0,0,0,0,0,4,14,9,27
ddg,N0002423C2307,DDG-51,HII-Ingalls,machining,2023-09-28,2025-09-24,6,0.95,1.0,1.0,491.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.139,128.526,275.793,0.0,0,0,0,0,0,0,0,0,0,0,0,2,10,8,0,20
ddg,N0002423C2307,DDG-51,HII-Ingalls,castings,2023-11-01,2025-10-16,4,0.8889,0.75,0.75,43.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.707,14.851,0.232,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,9
ddg,N0002411C2307,DDG-51,HII-Ingalls,unbucketed,2013-04-08,2018-05-28,75,0.5043,0.9733,0.9733,8.584,0.0,1.395,2.291,0.554,1.653,2.22,0.471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18,29,12,22,30,4,0,0,0,0,0,0,0,0,115
ddg,N0002411C2307,DDG-51,HII-Ingalls,structural,2013-04-23,2019-04-15,7,0.9744,1.0,1.0,7.188,0.0,0.216,2.554,0.994,0.226,0.517,1.124,1.557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,4,5,2,4,10,10,0,0,0,0,0,0,0,39
ddg,N0002411C2307,DDG-51,HII-Ingalls,piping,2013-04-05,2019-03-05,13,0.6087,1.0,1.0,2.519,0.0,1.8,0.035,0.137,0.33,0.026,0.031,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11,1,4,3,1,1,2,0,0,0,0,0,0,0,23
ddg,N0002411C2307,DDG-51,HII-Ingalls,electrical,2013-05-06,2018-04-05,4,0.8889,1.0,1.0,1.124,0.0,0.355,0.657,0.0,0.0,0.031,0.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,8,0,0,1,2,0,0,0,0,0,0,0,0,18
ddg,N0002411C2307,DDG-51,HII-Ingalls,machining,2013-06-26,2017-10-18,3,1.0,1.0,1.0,2.115,0.0,1.327,0.322,0.065,0.195,0.172,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,3,2,4,5,1,0,0,0,0,0,0,0,0,17
ddg,N0002411C2307,DDG-51,HII-Ingalls,hvac,2013-04-15,2017-08-29,4,0.9,1.0,1.0,0.74,0.0,0.178,0.055,0.0,0.371,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,2,0,2,3,0,0,0,0,0,0,0,0,0,10
ddg,N0002411C2307,DDG-51,HII-Ingalls,coatings,2013-05-09,2017-12-19,4,0.875,0.75,0.75,0.921,0.0,0.289,0.155,0.152,0.078,0.08,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,2,1,1,1,0,0,0,0,0,0,0,0,8
ddg,N0002411C2309,DDG-51,HII-Ingalls,unbucketed,2013-04-05,2019-02-18,64,0.566,0.9219,0.9219,8.548,0.0,1.763,0.981,0.762,1.564,1.244,1.782,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25,13,15,18,18,13,4,0,0,0,0,0,0,0,106
ddg,N0002411C2309,DDG-51,HII-Ingalls,structural,2013-04-18,2018-08-28,12,0.7586,0.9167,0.9167,5.334,0.0,2.381,0.427,1.412,0.282,0.234,0.599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,4,3,5,4,9,0,0,0,0,0,0,0,0,29
ddg,N0002411C2309,DDG-51,HII-Ingalls,machining,2013-06-26,2018-02-21,5,0.9375,1.0,1.0,1.198,0.0,0.401,0.212,0.105,0.268,0.057,0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4,3,3,1,4,0,0,0,0,0,0,0,0,16
ddg,N0002411C2309,DDG-51,HII-Ingalls,electrical,2013-04-12,2018-04-05,4,1.0,1.0,1.0,0.952,0.0,0.3,0.337,0.0,0.22,0.036,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,2,0,3,1,2,0,0,0,0,0,0,0,0,14
ddg,N0002411C2309,DDG-51,HII-Ingalls,coatings,2013-09-18,2016-12-14,3,0.9231,1.0,1.0,1.647,0.0,0.035,0.121,0.0,1.355,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2,0,8,2,0,0,0,0,0,0,0,0,0,13
ddg,N0002411C2309,DDG-51,HII-Ingalls,hvac,2013-08-14,2016-12-21,3,0.9167,1.0,1.0,0.792,0.0,0.098,0.048,0.138,0.306,0.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,2,5,2,0,0,0,0,0,0,0,0,0,12
ddg,N0002411C2309,DDG-51,HII-Ingalls,piping,2013-05-13,2017-07-14,6,0.6364,1.0,1.0,2.051,0.0,1.522,0.034,0.121,0.298,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,2,4,2,0,0,0,0,0,0,0,0,0,11
ddg,N0002419C4452,DDG-51,GD-BIW,unbucketed,2021-11-02,2025-05-07,21,0.5,0.3333,0.3333,3.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.665,1.232,0.218,0.343,0.0,0,0,0,0,0,0,0,0,0,0,12,14,3,1,0,30
ddg,N0002419C4452,DDG-51,GD-BIW,structural,2021-10-11,2024-07-24,9,0.8276,0.8889,0.8889,10.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.205,5.341,1.884,0.0,0.0,0,0,0,0,0,0,0,0,0,0,9,14,6,0,0,29
ddg,N0002419C4452,DDG-51,GD-BIW,electrical,2020-08-04,2024-05-14,11,0.625,0.7273,0.7273,2.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.062,0.324,0.265,2.103,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,4,17,0,0,24
ddg,N0002419C4452,DDG-51,GD-BIW,piping,2022-02-09,2023-10-25,9,0.7647,0.8889,0.8889,4.573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.404,2.978,0.191,0.0,0.0,0,0,0,0,0,0,0,0,0,0,6,10,1,0,0,17
ddg,N0002419C4452,DDG-51,GD-BIW,hvac,2021-10-05,2024-06-05,4,0.9333,0.75,0.75,3.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,1.859,1.184,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,4,10,0,0,15
ddg,N0002419C4452,DDG-51,GD-BIW,machining,2022-02-17,2024-10-21,2,0.6667,0.5,0.5,0.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244,0.0,0.0,0.12,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3
ddg,N0002419C2322,DDG-51,GD-BIW,unbucketed,2021-01-11,2023-12-06,24,0.5,0.25,0.25,3.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.576,0.947,1.83,0.21,0.0,0.0,0,0,0,0,0,0,0,0,0,4,14,16,2,0,0,36
ddg,N0002419C2322,DDG-51,GD-BIW,piping,2021-03-18,2023-08-25,9,0.85,1.0,1.0,4.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,1.76,2.314,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,6,13,0,0,0,20
ddg,N0002419C2322,DDG-51,GD-BIW,structural,2021-01-08,2023-08-02,3,0.9412,1.0,1.0,5.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.368,0.692,1.124,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,7,3,7,0,0,0,17
ddg,N0002419C2322,DDG-51,GD-BIW,electrical,2021-01-11,2024-03-29,7,0.8125,0.8571,0.8571,7.706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256,0.25,5.817,1.384,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,8,6,0,0,16
ddg,N0002419C2322,DDG-51,GD-BIW,hvac,2022-12-20,2023-11-28,4,0.0,1.0,1.0,0.608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.138,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4
ddg,N0002419C2322,DDG-51,GD-BIW,coatings,2022-09-27,2022-11-14,1,1.0,1.0,1.0,0.982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.448,0.533,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3
ddg,N0002419C2322,DDG-51,GD-BIW,machining,2022-03-09,2023-06-05,2,0.0,1.0,1.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258,0.072,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2
ddg,N0002413C2305,DDG-51,GD-BIW,unbucketed,2021-01-07,2025-05-27,22,0.5152,0.4545,0.4545,2.513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.776,0.796,0.49,0.41,0.0,0,0,0,0,0,0,0,0,0,1,13,13,4,2,0,33
ddg,N0002413C2305,DDG-51,GD-BIW,machining,2019-01-05,2025-04-07,5,0.9286,1.0,1.0,3.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.0,0.0,0.591,0.267,0.958,1.164,0.0,0,0,0,0,0,0,0,1,0,0,10,2,8,7,0,28
ddg,N0002413C2305,DDG-51,GD-BIW,hvac,2022-01-24,2025-02-19,5,0.8333,0.8,0.8,0.765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169,0.0,0.467,0.128,0.0,0,0,0,0,0,0,0,0,0,0,2,0,7,3,0,12
ddg,N0002413C2305,DDG-51,GD-BIW,electrical,2021-12-10,2025-05-09,4,0.5714,1.0,1.0,0.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.271,0.0,0.034,0.0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,7
ddg,N0002413C2305,DDG-51,GD-BIW,piping,2021-01-28,2022-06-29,4,0.7143,0.75,0.75,0.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.236,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,7
ddg,N0002413C2305,DDG-51,GD-BIW,structural,2022-12-22,2024-05-22,2,1.0,0.5,0.5,0.572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444,0.129,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,6
ddg,N0002414C4313,DDG-51,GD-BIW,unbucketed,2016-03-07,2019-12-18,27,0.45,0.2593,0.2593,29.904,0.0,0.0,0.0,0.0,2.175,8.576,12.742,2.16,4.252,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,7,17,12,1,0,0,0,0,0,0,40
ddg,N0002414C4313,DDG-51,GD-BIW,machining,2017-05-12,2019-07-09,2,1.0,1.0,1.0,40.476,0.0,0.0,0.0,0.0,0.0,3.582,10.646,26.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,10,7,0,0,0,0,0,0,0,20
ddg,N0002414C4313,DDG-51,GD-BIW,electrical,2017-10-25,2019-07-23,2,1.0,1.0,1.0,0.401,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,4
ddg,N0002414C4313,DDG-51,GD-BIW,piping,2016-08-25,2019-11-20,2,0.6667,1.0,1.0,0.963,0.0,0.0,0.0,0.0,0.807,0.0,0.0,0.112,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3
ddg,N0002414C4313,DDG-51,GD-BIW,structural,2018-04-27,2019-12-16,2,0.6667,1.0,1.0,1.194,0.0,0.0,0.0,0.0,0.0,0.0,0.416,0.742,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3
ddg,N0002414C4313,DDG-51,GD-BIW,hvac,2017-04-28,2018-10-08,2,0.0,1.0,1.0,1.929,0.0,0.0,0.0,0.0,0.0,1.904,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
ddg,N0002414C4313,DDG-51,GD-BIW,coatings,2018-08-14,2018-08-14,1,0.0,0.0,0.0,0.241,0.0,0.0,0.0,0.0,0.0,0.0,0.241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ddg,N0002418C2305,DDG-51,GD-BIW,electrical,2021-10-28,2025-04-30,5,0.3333,1.0,1.0,7.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.297,0.0,0.0,3.455,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6
ddg,N0002418C2305,DDG-51,GD-BIW,unbucketed,2001-10-22,2025-04-01,5,0.0,0.6,0.6,4.18,3.698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.061,0.0,0.031,0.0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,5
ddg,N0002418C2305,DDG-51,GD-BIW,piping,2021-12-06,2022-11-28,3,0.5,1.0,1.0,3.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52,0.195,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,4
ddg,N0002418C2305,DDG-51,GD-BIW,machining,2023-01-13,2025-01-09,2,0.6667,0.5,0.5,11.608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.575,0.0,0.033,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3
ddg,N0002418C2305,DDG-51,GD-BIW,hvac,2023-12-20,2024-11-27,2,0.0,1.0,1.0,24.679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,24.61,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
ddg,N0002418C2305,DDG-51,GD-BIW,structural,2022-11-19,2024-12-20,2,0.0,0.5,0.5,3.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.595,0.0,2.857,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2
ddg,N0002418C2305,DDG-51,GD-BIW,coatings,2023-07-26,2023-07-26,1,0.0,1.0,1.0,0.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
ddg,N0002412C2312,DDG-51,HII-Ingalls,unbucketed,2013-09-13,2016-08-17,5,0.625,0.0,0.0,6.434,0.0,0.448,4.416,0.511,1.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,3,2,2,0,0,0,0,0,0,0,0,0,0,8
